#Dir,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,solver,preconditioner,Build,Date,Time,nProcs,nCells,Steps,ExectutionTime0(s),ExectutionTime1(s),ExectutionTime/Steps(s)
n_00001/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_DIC,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,DIC,2.3.0-f5222ca19ce6,May 16 2015,00:50:11,1,374400,11,7.98,71.71,6.373
n_00001/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_DICGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,DICGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,00:52:52,1,374400,11,9.39,77.99,6.86
n_00001/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_FDIC,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,FDIC,2.3.0-f5222ca19ce6,May 16 2015,00:51:27,1,374400,11,7.67,65.42,5.775
n_00001/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_GaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,GaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,00:54:33,1,374400,11,8.44,74.02,6.558
n_00001/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_nonBlockingGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,nonBlockingGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,00:56:07,1,374400,11,6.54,74.37,6.783
n_00001/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_symGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,symGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,00:57:29,1,374400,11,9.45,78.36,6.891
n_00001/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_DIC,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,DIC,2.3.0-f5222ca19ce6,May 16 2015,00:45:22,1,374400,11,8.6,80.63,7.203
n_00001/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_FDIC,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,FDIC,2.3.0-f5222ca19ce6,May 16 2015,00:43:45,1,374400,11,9.11,79.18,7.007
n_00001/mpi_00001/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_diagonal,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,diagonal,2.3.0-f5222ca19ce6,May 16 2015,00:46:53,1,374400,11,18.8,172.83,15.403
n_00001/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_DIC,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,DIC,2.3.0-f5222ca19ce6,May 16 2015,00:35:33,1,374400,11,6.16,57.17,5.101
n_00001/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_DICGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,DICGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,00:37:58,1,374400,11,6.71,64.22,5.751
n_00001/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_FDIC,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,FDIC,2.3.0-f5222ca19ce6,May 16 2015,00:36:53,1,374400,11,6.59,61.46,5.487
n_00001/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_GaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,GaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,00:39:29,1,374400,11,6.61,68.66,6.205
n_00001/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_nonBlockingGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,nonBlockingGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,00:40:45,1,374400,11,6.15,68.8,6.265
n_00001/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_symGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,symGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,00:42:21,1,374400,11,8.46,76.39,6.793
n_00001/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,May 16 2015,00:31:06,1,374400,11,7.05,66.31,5.926
n_00001/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_FDIC,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,FDIC,2.3.0-f5222ca19ce6,May 16 2015,00:29:45,1,374400,11,7.71,66.03,5.832
n_00001/mpi_00001/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_diagonal,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,diagonal,2.3.0-f5222ca19ce6,May 16 2015,00:32:40,1,374400,11,15.28,153.04,13.776
n_00001/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_DIC,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,DIC,2.3.0-f5222ca19ce6,May 16 2015,02:29:57,2,374400,11,4.05,33.02,2.897
n_00001/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_DICGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,DICGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,02:31:41,2,374400,11,4.34,38.88,3.454
n_00001/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_FDIC,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,FDIC,2.3.0-f5222ca19ce6,May 16 2015,02:30:50,2,374400,11,3.92,36.68,3.276
n_00001/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_GaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,GaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,02:32:43,2,374400,11,3.91,36.88,3.297
n_00001/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_nonBlockingGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,nonBlockingGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,02:33:41,2,374400,11,4.08,39.89,3.581
n_00001/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_symGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,symGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,02:34:44,2,374400,11,5.81,49.67,4.386
n_00001/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_DIC,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,DIC,2.3.0-f5222ca19ce6,May 16 2015,02:27:09,2,374400,11,3.91,34.91,3.1
n_00001/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_FDIC,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,FDIC,2.3.0-f5222ca19ce6,May 16 2015,02:26:15,2,374400,11,4.96,39.81,3.485
n_00001/mpi_00002/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_diagonal,120,65,48,0.004000,0.044000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,diagonal,2.3.0-f5222ca19ce6,May 16 2015,02:28:05,2,374400,11,8.5,80.9,7.24
n_00001/mpi_00002/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_DIC,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,DIC,2.3.0-f5222ca19ce6,May 16 2015,02:20:53,2,374400,11,3.59,34.66,3.107
n_00001/mpi_00002/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_DICGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,DICGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,02:22:26,2,374400,11,5.02,45.19,4.017
n_00001/mpi_00002/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_FDIC,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,FDIC,2.3.0-f5222ca19ce6,May 16 2015,02:21:39,2,374400,11,3.14,29.5,2.636
n_00001/mpi_00002/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_GaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,GaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,02:23:18,2,374400,11,5.62,49.63,4.401
n_00001/mpi_00002/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_nonBlockingGaussSeidel,120,65,48,0.004000,0.044000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,nonBlockingGaussSeidel,2.3.0-f5222ca19ce6,May 16 2015,02:24:18,2,374400,11,5.2,42.64,3.744
