#Dir,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,solver,preconditioner,Build,Date,Time,nProcs,nCells,Steps,ExectutionTime0(s),ExectutionTime1(s),ExectutionTime/Steps(s)
n_00008/mpi_00018/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_DIC,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,DIC,2.3.0-f5222ca19ce6,May 14 2015,12:29:07,18,2995200,11,4.78,44.12,3.934
n_00008/mpi_00018/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_DICGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,DICGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:30:42,18,2995200,11,4.74,45.01,4.027
n_00008/mpi_00018/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_FDIC,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,FDIC,2.3.0-f5222ca19ce6,May 14 2015,12:29:55,18,2995200,11,5.2,44.32,3.912
n_00008/mpi_00018/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_GaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,GaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:31:31,18,2995200,11,4.88,45.96,4.108
n_00008/mpi_00018/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_nonBlockingGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,nonBlockingGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:32:20,18,2995200,11,4.92,46.55,4.163
n_00008/mpi_00018/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_symGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,symGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:33:10,18,2995200,11,5.43,45.98,4.055
n_00008/mpi_00018/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_DIC,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,DIC,2.3.0-f5222ca19ce6,May 14 2015,12:26:35,18,2995200,11,7.33,53.45,4.612
n_00008/mpi_00018/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_FDIC,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,FDIC,2.3.0-f5222ca19ce6,May 14 2015,12:25:39,18,2995200,11,7.33,52.2,4.487
n_00008/mpi_00018/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_diagonal,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,diagonal,2.3.0-f5222ca19ce6,May 14 2015,12:27:32,18,2995200,11,9.46,92.84,8.338
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_DIC,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,DIC,2.3.0-f5222ca19ce6,May 14 2015,12:21:02,18,2995200,11,4.63,42.72,3.809
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_DICGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,DICGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:22:33,18,2995200,11,4.45,42.82,3.837
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_FDIC,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,FDIC,2.3.0-f5222ca19ce6,May 14 2015,12:21:48,18,2995200,11,4.34,41.85,3.751
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_GaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,GaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:23:19,18,2995200,11,4.49,43.74,3.925
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_nonBlockingGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,nonBlockingGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:24:06,18,2995200,11,4.93,44.16,3.923
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_symGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,symGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:24:53,18,2995200,11,4.51,43.34,3.883
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,May 14 2015,12:18:41,18,2995200,11,7.02,46.15,3.913
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_FDIC,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,FDIC,2.3.0-f5222ca19ce6,May 14 2015,12:17:52,18,2995200,11,7.11,45.88,3.877
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_diagonal,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,diagonal,2.3.0-f5222ca19ce6,May 14 2015,12:19:30,18,2995200,11,9.73,88.82,7.909
n_00008/mpi_00036/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_DIC,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,DIC,2.3.0-f5222ca19ce6,May 14 2015,11:57:44,36,2995200,11,3.36,33.54,3.018
n_00008/mpi_00036/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_DICGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,DICGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,11:58:59,36,2995200,11,3.68,32.01,2.833
n_00008/mpi_00036/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_FDIC,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,FDIC,2.3.0-f5222ca19ce6,May 14 2015,11:58:21,36,2995200,11,3.2,34.23,3.103
n_00008/mpi_00036/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_GaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,GaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,11:59:35,36,2995200,11,5.82,51.89,4.607
n_00008/mpi_00036/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_nonBlockingGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,nonBlockingGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:00:30,36,2995200,11,6.45,52.85,4.64
n_00008/mpi_00036/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_GAMG-smoother_symGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,GAMG,symGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,12:01:26,36,2995200,11,4.92,40.49,3.557
n_00008/mpi_00036/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_DIC,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,DIC,2.3.0-f5222ca19ce6,May 14 2015,11:56:32,36,2995200,11,2.48,22.36,1.988
n_00008/mpi_00036/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_FDIC,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,FDIC,2.3.0-f5222ca19ce6,May 14 2015,11:56:06,36,2995200,11,2.75,22.78,2.003
n_00008/mpi_00036/simulationType_LESModel-LESModel_Smagorinsky-delta_vanDriest-solver_PCG-preconditioner_diagonal,240,130,96,0.002000,0.022000,scotch,-,-,-,LESModel,Smagorinsky,vanDriest,PCG,diagonal,2.3.0-f5222ca19ce6,May 14 2015,11:56:58,36,2995200,11,4.64,42.3,3.766
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_DIC,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,DIC,2.3.0-f5222ca19ce6,May 14 2015,11:51:54,36,2995200,11,3.72,33.08,2.936
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_DICGaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,DICGaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,11:53:07,36,2995200,11,3.42,29.42,2.6
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_FDIC,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,FDIC,2.3.0-f5222ca19ce6,May 14 2015,11:52:31,36,2995200,11,3.71,32.54,2.883
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_GAMG-smoother_GaussSeidel,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,GAMG,GaussSeidel,2.3.0-f5222ca19ce6,May 14 2015,11:53:40,36,2995200,11,5.42,49.46,4.404
