#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExectutionTime0(s),ExectutionTime1(s),ExectutionTime/Steps(s)
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.21444,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:18:08,18,2995200,0.452684,0.458979,0.017889,7.11994e-07,3,0.14528,5.13347e-06,4,0.143983,9.11581e-06,4,0.72918,0.0318363,7,0.725145,9.90682e-07,234,6.22569e-11,1.71563e-19,3.74097e-19,2.25176e-15,-2.78537e-19,9.55601e-20,11,7.04,46.88,3.984
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.21691,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:19:02,18,2995200,0.452684,0.458979,0.017889,7.11994e-07,3,0.14528,5.13347e-06,4,0.143983,9.11581e-06,4,0.72918,0.0318363,7,0.725145,9.90682e-07,234,6.22569e-11,1.71563e-19,3.74097e-19,2.25176e-15,-2.78537e-19,9.55601e-20,11,7.1,46.82,3.972
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.21940,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:19:55,18,2995200,0.452684,0.458979,0.017889,7.11994e-07,3,0.14528,5.13347e-06,4,0.143983,9.11581e-06,4,0.72918,0.0318363,7,0.725145,9.90682e-07,234,6.22569e-11,1.71563e-19,3.74097e-19,2.25176e-15,-2.78537e-19,9.55601e-20,11,7.08,46.85,3.977
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.22186,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:20:49,18,2995200,0.452684,0.458979,0.017889,7.11994e-07,3,0.14528,5.13347e-06,4,0.143983,9.11581e-06,4,0.72918,0.0318363,7,0.725145,9.90682e-07,234,6.22569e-11,1.71563e-19,3.74097e-19,2.25176e-15,-2.78537e-19,9.55601e-20,11,7.07,46.8,3.973
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.22431,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:21:43,18,2995200,0.452684,0.458979,0.017889,7.11994e-07,3,0.14528,5.13347e-06,4,0.143983,9.11581e-06,4,0.72918,0.0318363,7,0.725145,9.90682e-07,234,6.22569e-11,1.71563e-19,3.74097e-19,2.25176e-15,-2.78537e-19,9.55601e-20,11,7.07,46.81,3.974
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.12332,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:13:33,36,2995200,0.452684,0.458979,0.017889,8.05774e-07,3,0.14736,5.77141e-06,4,0.1448,4.77109e-06,4,0.730372,0.0349148,7,0.728624,9.78559e-07,232,9.11862e-11,6.54256e-20,-8.56983e-19,2.88047e-15,-1.7137e-19,-1.02835e-18,11,2.24,20.68,1.844
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.12580,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:14:02,36,2995200,0.452684,0.458979,0.017889,8.05774e-07,3,0.14736,5.77141e-06,4,0.1448,4.77109e-06,4,0.730372,0.0349148,7,0.728624,9.78559e-07,232,9.11862e-11,6.54256e-20,-8.56983e-19,2.88047e-15,-1.7137e-19,-1.02835e-18,11,2.2,20.64,1.844
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.12828,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:14:31,36,2995200,0.452684,0.458979,0.017889,8.05774e-07,3,0.14736,5.77141e-06,4,0.1448,4.77109e-06,4,0.730372,0.0349148,7,0.728624,9.78559e-07,232,9.11862e-11,6.54256e-20,-8.56983e-19,2.88047e-15,-1.7137e-19,-1.02835e-18,11,2.21,20.5,1.829
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.13074,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:14:59,36,2995200,0.452684,0.458979,0.017889,8.05774e-07,3,0.14736,5.77141e-06,4,0.1448,4.77109e-06,4,0.730372,0.0349148,7,0.728624,9.78559e-07,232,9.11862e-11,6.54256e-20,-8.56983e-19,2.88047e-15,-1.7137e-19,-1.02835e-18,11,2.24,20.73,1.849
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-solver_PCG-preconditioner_DIC,log.pimpleFoam.13321,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,PCG,DIC,2.3.0-f5222ca19ce6,Oct 18 2015,13:15:28,36,2995200,0.452684,0.458979,0.017889,8.05774e-07,3,0.14736,5.77141e-06,4,0.1448,4.77109e-06,4,0.730372,0.0349148,7,0.728624,9.78559e-07,232,9.11862e-11,6.54256e-20,-8.56983e-19,2.88047e-15,-1.7137e-19,-1.02835e-18,11,2.21,20.65,1.844
