#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.pimpleFoam.27402,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:33:45,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,4.44,174.88,178.28,4,175,179
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.pimpleFoam.27913,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:40:49,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,4.46,174.96,178.37,5,175,179
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.pimpleFoam.28453,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:47:53,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,4.45,175.11,178.5,4,175,179
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.pimpleFoam.28964,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:54:57,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,4.48,175.22,178.62,5,176,180
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.pimpleFoam.29488,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,11:02:02,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,4.47,175.23,178.65,4,175,179
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.pimpleFoam.27145,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:29:47,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,7.2,226.41,230.4,7,227,231
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.pimpleFoam.27656,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:36:51,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,7.2,226.4,230.43,7,226,231
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.pimpleFoam.28168,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:43:55,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,7.22,226.21,230.22,8,227,231
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.pimpleFoam.28708,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:50:59,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,7.18,226.48,230.48,7,226,231
n_00008/mpi_00018/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.pimpleFoam.29218,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:58:04,18,2995200,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,7.21,226.38,230.4,7,226,231
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.pimpleFoam.21255,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:04:15,36,2995200,0.445924,0.461484,0.003552,3.88419e-06,2,0.0783593,2.95931e-06,4,0.102436,1.30864e-06,4,0.823678,0.0280437,2,0.820955,8.96119e-07,25,9.29715e-10,2.85406e-19,-1.63235e-18,2.97486e-14,-1.27702e-19,-1.76006e-18,52,3.52,156.09,159.17,4,156,160
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.pimpleFoam.21791,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:08:57,36,2995200,0.445924,0.461484,0.003552,3.88419e-06,2,0.0783593,2.95931e-06,4,0.102436,1.30864e-06,4,0.823678,0.0280437,2,0.820955,8.96119e-07,25,9.29715e-10,2.85406e-19,-1.63235e-18,2.97486e-14,-1.27702e-19,-1.76006e-18,52,3.57,158.3,161.42,4,159,162
n_00008/mpi_00036/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.pimpleFoam.22299,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol-calcInterval_1,,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,10:13:42,36,2995200,0.445924,0.461484,0.003552,3.88419e-06,2,0.0783593,2.95931e-06,4,0.102436,1.30864e-06,4,0.823678,0.0280437,2,0.820955,8.96119e-07,25,9.29715e-10,2.85406e-19,-1.63235e-18,2.97486e-14,-1.27702e-19,-1.76006e-18,52,3.5,155.32,158.38,4,156,159
