#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00018,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,10:33:45, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,4,175,179,4.44,174.88,178.28,3.42,3.43137,3.4088,3.40863
log.pimpleFoam.No2,mpi_00018,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,10:40:49, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,5,175,179,4.46,174.96,178.37,3.4,3.41176,3.41,3.41
log.pimpleFoam.No3,mpi_00018,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,10:47:53, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,4,175,179,4.45,175.11,178.5,3.42,3.43137,3.4132,3.41275
log.pimpleFoam.No4,mpi_00018,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,10:54:57, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,5,176,180,4.48,175.22,178.62,3.42,3.43137,3.4148,3.41451
log.pimpleFoam.No5,mpi_00018,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,11:02:02, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0676531,2.76179e-06,4,0.087169,2.65415e-06,4,0.824618,0.0278814,2,0.818521,9.1454e-07,35,6.58617e-10,2.95388e-19,5.06657e-18,2.16194e-14,-1.02938e-19,4.96363e-18,52,4,175,179,4.47,175.23,178.65,3.42,3.43137,3.4152,3.41529
log.pimpleFoam.No1,mpi_00018,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,10:29:47, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,7,227,231,7.2,226.41,230.4,4.4,4.39216,4.3842,4.37647
log.pimpleFoam.No2,mpi_00018,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,10:36:51, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,7,226,231,7.2,226.4,230.43,4.38,4.39216,4.384,4.37706
log.pimpleFoam.No3,mpi_00018,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,10:43:55, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,8,227,231,7.22,226.21,230.22,4.38,4.37255,4.3798,4.37255
log.pimpleFoam.No4,mpi_00018,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,10:50:59, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,7,226,231,7.18,226.48,230.48,4.38,4.39216,4.386,4.37843
log.pimpleFoam.No5,mpi_00018,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,10:58:04, 1,18,0.445924,0.461484,0.003552,2.78425e-06,2,0.0679979,2.7727e-06,4,0.0870995,2.66054e-06,4,0.825122,0.040726,13,0.825993,9.93702e-07,252,9.62143e-10,-5.39386e-19,4.31414e-19,2.70278e-14,-3.29844e-19,1.0157e-19,52,7,226,231,7.21,226.38,230.4,4.38,4.39216,4.3834,4.37627
