#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.523600,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,14:22:26,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,13.57,498.88,508.41,17,502,515
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.524809,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,03:43:26,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.68,494.86,504.35,16,498,511
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.524843,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,04:10:58,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.68,495.48,504.98,16,499,511
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.524870,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,04:38:25,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.7,495.23,504.7,15,498,510
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.524902,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,05:05:57,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.72,494.98,504.48,15,498,510
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523562,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,14:07:26,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26.34,831.97,846.46,30,836,854
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.524800,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,03:28:43,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25.57,830.85,845.33,28,834,851
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.524830,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,03:56:26,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25.61,831.7,846.58,28,835,853
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.524861,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,04:23:41,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25.58,831.23,845.71,28,834,851
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.524890,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,04:51:26,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25.53,832.02,846.5,28,835,852
