#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:22:26, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,17,502,515,13.57,498.88,508.41,9.7,9.76471,9.7062,9.70275
log.pimpleFoam.No2,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,03:43:26, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,16,498,511,12.68,494.86,504.35,9.64,9.70588,9.6436,9.64059
log.pimpleFoam.No3,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,04:10:58, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,16,499,511,12.68,495.48,504.98,9.66,9.70588,9.656,9.65294
log.pimpleFoam.No4,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,04:38:25, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,15,498,510,12.7,495.23,504.7,9.66,9.70588,9.6506,9.64706
log.pimpleFoam.No5,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,05:05:57, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,15,498,510,12.72,494.98,504.48,9.66,9.70588,9.6452,9.64235
log.pimpleFoam.No1,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:07:26, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,30,836,854,26.34,831.97,846.46,16.12,16.1569,16.1126,16.0808
log.pimpleFoam.No2,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,03:28:43, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,28,834,851,25.57,830.85,845.33,16.12,16.1373,16.1056,16.0737
log.pimpleFoam.No3,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,03:56:26, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,28,835,853,25.61,831.7,846.58,16.14,16.1765,16.1218,16.0975
log.pimpleFoam.No4,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,04:23:41, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,28,834,851,25.58,831.23,845.71,16.12,16.1373,16.113,16.081
log.pimpleFoam.No5,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,04:51:26, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,28,835,852,25.53,832.02,846.5,16.14,16.1569,16.1298,16.0975
