#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.434504,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,11:21:25,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,25.66,173.06,188.22
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.434507,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,11:22:03,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,29.81,185.13,200.01
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436096,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:48:58,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,24.1,152.03,164.54
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436099,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:54:32,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,24.89,160.27,173.33
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.443441,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 24 2015,17:00:52,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,26.86,169,183.61
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.443479,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 24 2015,17:09:04,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,28.63,182.51,197.55
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.443506,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 24 2015,17:15:32,10,2995200,0.452684,0.458979,0.017889,6.86963e-07,3,0.145617,5.45376e-06,4,0.140678,6.55551e-06,4,0.722494,0.0281685,7,0.718014,9.99996e-07,215,5.14884e-11,-1.20843e-19,3.52165e-19,2.08522e-15,-1.20957e-19,2.31208e-19,11,23.92,151.58,164.16
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.434505,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,11:26:16,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,12.65,82.57,90.34
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436097,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:52:32,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,9.15,63.63,70.13
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436100,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,19:58:35,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,8.8,63.54,70.08
