#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525081,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,08:36:43,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,13.01,506.48,516.18,16,509,521
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525138,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,09:22:25,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,13,507.25,516.97,16,510,523
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525211,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,09:51:31,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,13,507.22,516.96,16,510,523
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525557,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,12:15:57,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,13.07,506.82,516.51,17,510,522
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.525611,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,12:54:02,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.99,507.9,517.65,16,511,524
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525071,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,08:21:56,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26.19,850.9,865.76,29,854,872
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525108,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,09:08:57,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26.33,852.12,866.96,29,855,873
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525137,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,09:22:28,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26.38,853.42,868.21,29,856,874
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525210,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,09:51:31,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26.3,853.03,867.85,29,856,873
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.525610,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 16 2015,12:54:02,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26.28,852.2,867.03,30,855,873
