#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,08:36:43, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,16,509,521,13.01,506.48,516.18,9.86,9.90196,9.8694,9.86608
log.pimpleFoam.No2,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,09:22:25, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,16,510,523,13,507.25,516.97,9.88,9.94118,9.885,9.88176
log.pimpleFoam.No3,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,09:51:31, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,16,510,523,13,507.22,516.96,9.88,9.94118,9.8844,9.88157
log.pimpleFoam.No4,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,12:15:57, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,17,510,522,13.07,506.82,516.51,9.86,9.90196,9.875,9.87137
log.pimpleFoam.No5,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,12:54:02, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,16,511,524,12.99,507.9,517.65,9.9,9.96078,9.8982,9.89529
log.pimpleFoam.No1,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,08:21:56, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,29,854,872,26.19,850.9,865.76,16.5,16.5294,16.4942,16.4622
log.pimpleFoam.No2,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,09:08:57, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,29,855,873,26.33,852.12,866.96,16.52,16.549,16.5158,16.4829
log.pimpleFoam.No3,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,09:22:28, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,29,856,874,26.38,853.42,868.21,16.54,16.5686,16.5408,16.5065
log.pimpleFoam.No4,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,09:51:31, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,29,856,873,26.3,853.03,867.85,16.54,16.549,16.5346,16.501
log.pimpleFoam.No5,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 16 2015,12:54:02, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,30,855,873,26.28,852.2,867.03,16.5,16.5294,16.5184,16.4853
