#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436710,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:13:51,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,6.97,47.92,52.57
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436720,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:18:49,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,6.55,44.51,49.13
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436773,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:23:32,20,2995200,0.452684,0.458979,0.017889,7.35316e-07,3,0.145572,5.76933e-06,4,0.143389,5.61804e-06,4,0.732635,0.0311325,7,0.729361,9.78495e-07,223,6.61172e-11,-2.7849e-19,-1.58579e-18,2.2956e-15,-2.73608e-20,-1.61315e-18,11,7.03,45.58,49.84
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436711,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:15:32,40,2995200,0.452684,0.458979,0.017889,8.00671e-07,3,0.147634,6.02151e-06,4,0.146284,5.2083e-06,4,0.729285,0.0309315,7,0.725779,9.71115e-07,232,7.91054e-11,-4.83951e-19,-1.14776e-20,2.76979e-15,-2.54409e-19,-2.65886e-19,11,5.22,27.29,29.43
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436722,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:20:19,40,2995200,0.452684,0.458979,0.017889,8.00671e-07,3,0.147634,6.02151e-06,4,0.146284,5.2083e-06,4,0.729285,0.0309315,7,0.725779,9.71115e-07,232,7.91054e-11,-4.83951e-19,-1.14776e-20,2.76979e-15,-2.54409e-19,-2.65886e-19,11,4.91,26.19,28.26
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436809,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:25:52,40,2995200,0.452684,0.458979,0.017889,8.00671e-07,3,0.147634,6.02151e-06,4,0.146284,5.2083e-06,4,0.729285,0.0309315,7,0.725779,9.71115e-07,232,7.91054e-11,-4.83951e-19,-1.14776e-20,2.76979e-15,-2.54409e-19,-2.65886e-19,11,5.25,28.26,30.42
n_00008/mpi_00080/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436715,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:16:42,80,2995200,0.452684,0.458979,0.017889,7.99598e-07,3,0.147211,6.03279e-06,4,0.14572,7.29727e-06,4,0.735639,0.0357748,7,0.731708,9.78524e-07,238,9.03138e-11,1.89813e-19,-1.57562e-19,2.78801e-15,2.07641e-19,5.00793e-20,11,4.43,13.91,14.73
n_00008/mpi_00080/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436725,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:21:31,80,2995200,0.452684,0.458979,0.017889,7.99598e-07,3,0.147211,6.03279e-06,4,0.14572,7.29727e-06,4,0.735639,0.0357748,7,0.731708,9.78524e-07,238,9.03138e-11,1.89813e-19,-1.57562e-19,2.78801e-15,2.07641e-19,5.00793e-20,11,7.16,17.57,18.39
n_00008/mpi_00080/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436813,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:27:53,80,2995200,0.452684,0.458979,0.017889,7.99598e-07,3,0.147211,6.03279e-06,4,0.14572,7.29727e-06,4,0.735639,0.0357748,7,0.731708,9.78524e-07,238,9.03138e-11,1.89813e-19,-1.57562e-19,2.78801e-15,2.07641e-19,5.00793e-20,11,10.15,19.55,20.52
n_00008/mpi_00160/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.436728,240,130,96,0.002000,0.022000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Oct 22 2015,23:22:35,160,2995200,0.452684,0.458979,0.017889,8.58099e-07,3,0.148569,6.51699e-06,4,0.146217,6.87077e-06,4,0.742133,0.0285314,8,0.736851,9.96382e-07,451,8.32689e-11,7.98268e-20,-3.61305e-19,2.92296e-15,-5.83372e-19,-9.44677e-19,11,11.28,14.62,15.08
