#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523482,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,13:46:25,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,6.18,238.76,243.29,9,243,250
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523563,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,14:07:26,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,6.52,239.19,243.72,9,242,250
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523620,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,14:27:25,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,6.16,238.89,243.41,9,242,250
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523663,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,14:47:25,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,6.11,238.34,242.86,9,242,250
n_00008/mpi_00020/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523707,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,15:07:26,20,2995200,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,6.14,238.09,242.6,9,242,249
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523535,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,13:54:57,40,2995200,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,4.29,113.31,115.28,5,115,119
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523584,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,14:15:57,40,2995200,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,3.91,111.81,113.78,5,113,117
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523639,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,14:35:43,40,2995200,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,3.92,111.84,113.96,6,114,117
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523677,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,14:55:42,40,2995200,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,3.92,111.74,113.89,5,113,116
n_00008/mpi_00040/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.523720,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 15 2015,15:15:57,40,2995200,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,4.08,111.84,113.8,5,113,117
