#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,13:46:25, 1,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,9,243,250,6.18,238.76,243.29,4.68,4.72549,4.6516,4.64922
log.pimpleFoam.No2,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:07:26, 1,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,9,242,250,6.52,239.19,243.72,4.66,4.72549,4.6534,4.65098
log.pimpleFoam.No3,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:27:25, 1,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,9,242,250,6.16,238.89,243.41,4.66,4.72549,4.6546,4.65196
log.pimpleFoam.No4,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:47:25, 1,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,9,242,250,6.11,238.34,242.86,4.66,4.72549,4.6446,4.64216
log.pimpleFoam.No5,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,15:07:26, 1,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,9,242,249,6.14,238.09,242.6,4.66,4.70588,4.639,4.63647
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,13:54:57, 2,40,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,5,115,119,4.29,113.31,115.28,2.2,2.23529,2.1804,2.17627
log.pimpleFoam.No2,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:15:57, 2,40,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,5,113,117,3.91,111.81,113.78,2.16,2.19608,2.158,2.15431
log.pimpleFoam.No3,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:35:43, 2,40,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,6,114,117,3.92,111.84,113.96,2.16,2.17647,2.1584,2.15765
log.pimpleFoam.No4,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:55:42, 2,40,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,5,113,116,3.92,111.74,113.89,2.16,2.17647,2.1564,2.15627
log.pimpleFoam.No5,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,15:15:57, 2,40,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,5,113,117,4.08,111.84,113.8,2.16,2.19608,2.1552,2.15137
log.pimpleFoam.No1,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,13:59:28, 4,80,0.445924,0.461484,0.003552,3.90615e-06,2,0.0759843,2.81402e-06,4,0.103697,2.21183e-06,4,0.833806,0.0393095,14,0.835474,9.99064e-07,259,1.29153e-09,-2.86296e-20,-2.14972e-18,3.66599e-14,-3.24271e-20,-2.18215e-18,52,2,46,48,1.59,45.19,45.95,0.88,0.901961,0.872,0.869804
log.pimpleFoam.No2,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:20:26, 4,80,0.445924,0.461484,0.003552,3.90615e-06,2,0.0759843,2.81402e-06,4,0.103697,2.21183e-06,4,0.833806,0.0393095,14,0.835474,9.99064e-07,259,1.29153e-09,-2.86296e-20,-2.14972e-18,3.66599e-14,-3.24271e-20,-2.18215e-18,52,3,44,48,1.47,43.11,44.03,0.82,0.882353,0.8328,0.83451
log.pimpleFoam.No3,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:39:45, 4,80,0.445924,0.461484,0.003552,3.90615e-06,2,0.0759843,2.81402e-06,4,0.103697,2.21183e-06,4,0.833806,0.0393095,14,0.835474,9.99064e-07,259,1.29153e-09,-2.86296e-20,-2.14972e-18,3.66599e-14,-3.24271e-20,-2.18215e-18,52,2,45,47,1.34,44.29,45.24,0.86,0.882353,0.859,0.860784
log.pimpleFoam.No4,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:59:44, 4,80,0.445924,0.461484,0.003552,3.90615e-06,2,0.0759843,2.81402e-06,4,0.103697,2.21183e-06,4,0.833806,0.0393095,14,0.835474,9.99064e-07,259,1.29153e-09,-2.86296e-20,-2.14972e-18,3.66599e-14,-3.24271e-20,-2.18215e-18,52,2,45,47,1.4,43.81,44.55,0.86,0.882353,0.8482,0.846078
log.pimpleFoam.No5,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,15:20:27, 4,80,0.445924,0.461484,0.003552,3.90615e-06,2,0.0759843,2.81402e-06,4,0.103697,2.21183e-06,4,0.833806,0.0393095,14,0.835474,9.99064e-07,259,1.29153e-09,-2.86296e-20,-2.14972e-18,3.66599e-14,-3.24271e-20,-2.18215e-18,52,2,44,46,1.33,43.17,43.91,0.84,0.862745,0.8368,0.834902
log.pimpleFoam.No1,mpi_00160,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:02:29, 8,160,0.445924,0.461484,0.003552,4.60166e-06,2,0.0859331,3.53145e-06,4,0.104859,1.43765e-06,4,0.836332,0.0393676,14,0.840076,9.60009e-07,268,1.50638e-09,1.94713e-19,-1.36779e-18,3.77562e-14,-2.32251e-19,-1.60004e-18,52,1,21,22,1.33,20.72,21.01,0.4,0.411765,0.3878,0.385882
log.pimpleFoam.No2,mpi_00160,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:22:45, 8,160,0.445924,0.461484,0.003552,4.60166e-06,2,0.0859331,3.53145e-06,4,0.104859,1.43765e-06,4,0.836332,0.0393676,14,0.840076,9.60009e-07,268,1.50638e-09,1.94713e-19,-1.36779e-18,3.77562e-14,-2.32251e-19,-1.60004e-18,52,2,21,24,1.3,20.45,21.14,0.38,0.431373,0.383,0.38902
log.pimpleFoam.No3,mpi_00160,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,14:42:27, 8,160,0.445924,0.461484,0.003552,4.60166e-06,2,0.0859331,3.53145e-06,4,0.104859,1.43765e-06,4,0.836332,0.0393676,14,0.840076,9.60009e-07,268,1.50638e-09,1.94713e-19,-1.36779e-18,3.77562e-14,-2.32251e-19,-1.60004e-18,52,2,22,24,1.33,20.87,21.25,0.4,0.431373,0.3908,0.390588
log.pimpleFoam.No4,mpi_00160,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,15:02:29, 8,160,0.445924,0.461484,0.003552,4.60166e-06,2,0.0859331,3.53145e-06,4,0.104859,1.43765e-06,4,0.836332,0.0393676,14,0.840076,9.60009e-07,268,1.50638e-09,1.94713e-19,-1.36779e-18,3.77562e-14,-2.32251e-19,-1.60004e-18,52,2,21,22,1,19.69,19.98,0.38,0.392157,0.3738,0.372157
log.pimpleFoam.No5,mpi_00160,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 15 2015,16:50:44, 8,160,0.445924,0.461484,0.003552,4.60166e-06,2,0.0859331,3.53145e-06,4,0.104859,1.43765e-06,4,0.836332,0.0393676,14,0.840076,9.60009e-07,268,1.50638e-09,1.94713e-19,-1.36779e-18,3.77562e-14,-2.32251e-19,-1.60004e-18,52,2,21,23,1.04,20.01,20.31,0.38,0.411765,0.3794,0.377843
