#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 24 2016,00:32:28, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.0968729,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81017e-07,260,1.30583e-09,-2.6927e-19,1.42133e-18,3.32557e-14,3.49076e-19,1.7704e-18,51,6,133,135,4.44,130.39,132.78,2.59184,2.58,2.57041,2.5668
log.pimpleFoam.No2,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:28:29, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.0968729,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81017e-07,260,1.30583e-09,-2.6927e-19,1.42133e-18,3.32557e-14,3.49076e-19,1.7704e-18,51,7,134,137,4.91,131.25,133.58,2.59184,2.6,2.57837,2.5734
log.pimpleFoam.No3,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:31:59, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.0968729,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81017e-07,260,1.30583e-09,-2.6927e-19,1.42133e-18,3.32557e-14,3.49076e-19,1.7704e-18,51,6,136,138,4.48,133.83,136.2,2.65306,2.64,2.6398,2.6344
log.pimpleFoam.No4,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:36:08, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.0968729,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81017e-07,260,1.30583e-09,-2.6927e-19,1.42133e-18,3.32557e-14,3.49076e-19,1.7704e-18,51,6,132,135,4.41,130.47,132.8,2.57143,2.58,2.57265,2.5678
log.pimpleFoam.No5,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:49:05, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.0968729,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81017e-07,260,1.30583e-09,-2.6927e-19,1.42133e-18,3.32557e-14,3.49076e-19,1.7704e-18,51,7,134,136,4.49,131.07,133.44,2.59184,2.58,2.58327,2.579
log.pimpleFoam.No6,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:52:36, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.0968729,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81017e-07,260,1.30583e-09,-2.6927e-19,1.42133e-18,3.32557e-14,3.49076e-19,1.7704e-18,51,6,134,136,4.45,132.01,134.37,2.61224,2.6,2.60327,2.5984
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,23:28:28, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81717e-07,260,1.30583e-09,1.22463e-19,1.38995e-18,3.32803e-14,1.01334e-19,1.49128e-18,51,7,137,139,4.59,133.45,135.91,2.65306,2.64,2.6298,2.6264
log.pimpleFoam.No2,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,23:33:28, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.67997e-07,260,1.30583e-09,-5.62879e-19,7.05722e-19,3.28232e-14,7.89169e-20,7.84639e-19,51,6,135,137,4.36,132.93,135.37,2.63265,2.62,2.62388,2.6202
log.pimpleFoam.No3,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,23:38:32, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81932e-07,260,1.30583e-09,6.49057e-20,-5.96991e-19,3.32859e-14,4.77133e-20,-5.49277e-19,51,6,135,137,4.36,132.67,135.07,2.63265,2.62,2.61857,2.6142
log.pimpleFoam.No4,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,23:50:07, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81851e-07,260,1.30583e-09,-3.26497e-19,2.97571e-19,3.32839e-14,-3.16868e-19,-1.92973e-20,51,6,134,137,4.4,132.85,135.25,2.61224,2.62,2.62143,2.617
log.pimpleFoam.No5,mpi_00040,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,23:55:37, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.82085e-07,260,1.30583e-09,3.36061e-20,2.97491e-18,3.32904e-14,4.57057e-20,3.02062e-18,51,6,135,137,4.41,132.66,135.07,2.63265,2.62,2.61735,2.6132
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:28:29, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.82099e-07,260,1.30583e-09,6.48022e-20,4.72132e-20,3.32917e-14,6.11166e-20,1.0833e-19,51,8,136,139,4.79,132.95,135.36,2.61224,2.62,2.61551,2.6114
log.pimpleFoam.No2,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:32:00, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81925e-07,260,1.30583e-09,2.32298e-20,-1.64869e-18,3.32864e-14,2.52748e-19,-1.39594e-18,51,6,135,137,4.39,132.57,134.98,2.63265,2.62,2.61592,2.6118
log.pimpleFoam.No3,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:36:06, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.82017e-07,260,1.30583e-09,1.76602e-19,6.78185e-19,3.32892e-14,-2.62649e-20,6.5192e-19,51,6,136,138,4.45,133.53,135.96,2.65306,2.64,2.63429,2.6302
log.pimpleFoam.No4,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:49:05, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.81941e-07,260,1.30583e-09,-1.13426e-20,1.61229e-18,3.32873e-14,-8.42357e-21,1.60387e-18,51,6,135,138,4.41,132.71,135.13,2.63265,2.64,2.61837,2.6144
log.pimpleFoam.No5,mpi_00040,scotch,PCG-DIC,OF230_Icc_IntelMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:52:36, 1,40,0.446023,0.461423,0.00361637,3.91892e-06,2,0.0773835,3.38981e-06,4,0.096873,1.68523e-06,4,0.828474,0.0395031,14,0.832464,9.68986e-07,260,1.30583e-09,-9.01315e-20,-6.69015e-19,3.28559e-14,3.45966e-19,-3.23049e-19,51,7,135,138,4.38,132.47,134.88,2.61224,2.62,2.61408,2.61
log.pimpleFoam.No1,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 24 2016,16:29:42, 2,80,0.446023,0.461423,0.00361637,3.96992e-06,2,0.0774683,3.05392e-06,4,0.104097,2.01417e-06,4,0.829413,0.0392742,14,0.831994,9.76711e-07,257,1.30355e-09,-2.48473e-19,-2.07957e-18,3.57722e-14,-4.15243e-20,-2.12109e-18,51,3,50,51,1.54,48.94,49.78,0.959184,0.96,0.967347,0.9648
log.pimpleFoam.No2,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:28:30, 2,80,0.446023,0.461423,0.00361637,3.96992e-06,2,0.0774683,3.05392e-06,4,0.104097,2.01417e-06,4,0.829413,0.0392742,14,0.831994,9.76711e-07,257,1.30355e-09,-2.48473e-19,-2.07957e-18,3.57722e-14,-4.15243e-20,-2.12109e-18,51,4,51,51,2.08,48.74,49.62,0.959184,0.94,0.952245,0.9508
log.pimpleFoam.No3,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:33:33, 2,80,0.446023,0.461423,0.00361637,3.96992e-06,2,0.0774683,3.05392e-06,4,0.104097,2.01417e-06,4,0.829413,0.0392742,14,0.831994,9.76711e-07,257,1.30355e-09,-2.48473e-19,-2.07957e-18,3.57722e-14,-4.15243e-20,-2.12109e-18,51,3,51,52,1.63,49.41,50.25,0.979592,0.98,0.975102,0.9724
log.pimpleFoam.No4,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:45:40, 2,80,0.446023,0.461423,0.00361637,3.96992e-06,2,0.0774683,3.05392e-06,4,0.104097,2.01417e-06,4,0.829413,0.0392742,14,0.831994,9.76711e-07,257,1.30355e-09,-2.48473e-19,-2.07957e-18,3.57722e-14,-4.15243e-20,-2.12109e-18,51,3,51,52,1.72,48.23,49.08,0.979592,0.98,0.949184,0.9472
log.pimpleFoam.No5,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:50:08, 2,80,0.446023,0.461423,0.00361637,3.96992e-06,2,0.0774683,3.05392e-06,4,0.104097,2.01417e-06,4,0.829413,0.0392742,14,0.831994,9.76711e-07,257,1.30355e-09,-2.48473e-19,-2.07957e-18,3.57722e-14,-4.15243e-20,-2.12109e-18,51,3,49,50,1.54,47.84,48.69,0.938776,0.94,0.944898,0.943
log.pimpleFoam.No6,mpi_00080,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,23:55:10, 2,80,0.446023,0.461423,0.00361637,3.96992e-06,2,0.0774683,3.05392e-06,4,0.104097,2.01417e-06,4,0.829413,0.0392742,14,0.831994,9.76711e-07,257,1.30355e-09,-2.48473e-19,-2.07957e-18,3.57722e-14,-4.15243e-20,-2.12109e-18,51,3,52,53,1.62,49.8,50.64,1,1,0.983265,0.9804
log.pimpleFoam.No1,mpi_00080,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,23:31:02, 2,80,0.446023,0.461423,0.00361637,3.96992e-06,2,0.0774683,3.05392e-06,4,0.104097,2.01417e-06,4,0.829413,0.0392742,14,0.831994,9.77011e-07,257,1.30355e-09,7.48374e-20,1.03611e-18,3.57859e-14,5.98718e-20,1.09598e-18,51,2,47,47,1.61,45.39,46.21,0.918367,0.9,0.893469,0.892
