#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00008,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 24 2016,00:32:51, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.98361e-07,245,6.00642e-10,1.06859e-19,5.17948e-19,1.70851e-14,1.08911e-19,6.26858e-19,51,26,824,838,24.54,822.38,836.39,16.2857,16.24,16.2824,16.237
log.pimpleFoam.No2,mpi_00008,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,08:40:34, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.98361e-07,245,6.00642e-10,1.06859e-19,5.17948e-19,1.70851e-14,1.08911e-19,6.26858e-19,51,28,846,860,24.76,841.56,855.96,16.6939,16.64,16.6694,16.624
log.pimpleFoam.No3,mpi_00008,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,09:10:19, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.98361e-07,245,6.00642e-10,1.06859e-19,5.17948e-19,1.70851e-14,1.08911e-19,6.26858e-19,51,27,848,862,25.34,846.95,861.33,16.7551,16.7,16.7676,16.7198
log.pimpleFoam.No4,mpi_00008,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,09:40:06, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.98361e-07,245,6.00642e-10,1.06859e-19,5.17948e-19,1.70851e-14,1.08911e-19,6.26858e-19,51,27,847,862,25.14,844.41,858.83,16.7347,16.7,16.7198,16.6738
log.pimpleFoam.No5,mpi_00008,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,10:09:45, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.98361e-07,245,6.00642e-10,1.06859e-19,5.17948e-19,1.70851e-14,1.08911e-19,6.26858e-19,51,26,846,860,24.87,844.22,858.74,16.7347,16.68,16.7214,16.6774
log.pimpleFoam.No6,mpi_00008,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Sep 25 2016,10:39:35, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.98361e-07,245,6.00642e-10,1.06859e-19,5.17948e-19,1.70851e-14,1.08911e-19,6.26858e-19,51,27,848,863,25.32,846.84,861.21,16.7551,16.72,16.7657,16.7178
log.pimpleFoam.No1,mpi_00008,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,07:25:01, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.9973e-07,245,6.00642e-10,-3.3696e-20,3.38137e-19,1.71062e-14,4.31834e-19,7.69971e-19,51,26,815,829,24.19,813.03,826.9,16.102,16.06,16.0988,16.0542
log.pimpleFoam.No2,mpi_00008,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,08:55:11, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.85652e-07,246,6.00642e-10,2.46873e-19,-4.75126e-19,1.68785e-14,-1.65351e-19,-6.40477e-19,51,26,860,874,25.26,857.76,872.32,17.0204,16.96,16.9898,16.9412
log.pimpleFoam.No3,mpi_00008,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,09:24:57, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839176,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.87814e-07,246,6.00642e-10,-2.51604e-19,1.332e-18,1.69157e-14,-4.94067e-20,1.2826e-18,51,27,858,873,25.57,856.35,871.05,16.9592,16.92,16.9547,16.9096
log.pimpleFoam.No4,mpi_00008,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,09:54:38, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.85207e-07,246,6.00642e-10,-1.39941e-19,4.13637e-18,1.68726e-14,-1.51971e-19,3.98439e-18,51,27,858,873,25.4,856.92,871.51,16.9592,16.92,16.9698,16.9222
log.pimpleFoam.No5,mpi_00008,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,10:24:24, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839175,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.87169e-07,246,6.00642e-10,-5.05313e-19,3.82016e-18,1.69044e-14,3.34999e-19,4.15515e-18,51,27,861,876,25.64,859.6,874.28,17.0204,16.98,17.0196,16.9728
log.pimpleFoam.No6,mpi_00008,scotch,PCG-DIC,OF230_Icc14_IntelMPI513,2.3.0-f5222ca19ce6,Sep 25 2016,10:48:07, 1,8,0.446023,0.461423,0.00361637,1.86015e-06,2,0.0598815,2.384e-06,4,0.0839176,2.58872e-06,4,0.801428,0.0373053,14,0.801733,9.88056e-07,246,6.00642e-10,1.74027e-21,-5.39805e-19,1.69185e-14,-2.49669e-21,-5.42301e-19,51,26,813,827,24.12,811.28,825.17,16.0612,16.02,16.0645,16.021
