#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.1th,mpi_0020-method_scotch,scotch,GAMG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:22:20,1,20,0.445924,0.461484,0.003552,2.72851e-06,2,0.0691658,8.99323e-06,3,0.105178,3.17636e-06,4,0.851029,0.0310315,2,0.84742,9.35203e-07,26,6.82707e-10,-1.23843e-19,-1.87313e-18,2.04923e-14,-1.3558e-19,-2.00871e-18,52,3,139,142,3.12,138.84,141.55,2.72,2.72549,2.7144,2.71431
log.pimpleFoam.1th,mpi_0020-method_scotch,scotch,PCG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:24:49,1,20,0.445924,0.461484,0.003552,2.72851e-06,2,0.0696284,9.05672e-06,3,0.105202,3.17614e-06,4,0.851707,0.0383887,16,0.8512,9.93628e-07,500,8.44504e-10,-8.6986e-20,-3.35809e-18,2.19363e-14,-9.44647e-20,-3.45256e-18,52,7,334,341,7.04,333.91,340.82,6.54,6.54902,6.5374,6.54471
log.pimpleFoam.1th,mpi_0040-method_scotch,scotch,GAMG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:40:20,2,40,0.445924,0.461484,0.003552,3.2104e-06,2,0.073702,1.58304e-06,4,0.10172,3.01352e-06,4,0.847285,0.0312991,2,0.84187,8.14325e-07,26,8.23011e-10,-1.43295e-19,-3.38723e-18,2.13092e-14,-1.27657e-19,-3.51488e-18,52,2,63,65,1.57,62.92,64.19,1.22,1.23529,1.227,1.22784
log.pimpleFoam.1th,mpi_0040-method_scotch,scotch,PCG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:41:34,2,40,0.445924,0.461484,0.003552,3.2104e-06,2,0.0740483,1.59352e-06,4,0.101745,3.03376e-06,4,0.847587,0.0415553,15,0.846498,9.34223e-07,514,1.09286e-09,-1.15349e-19,-2.86565e-18,2.46599e-14,-1.01799e-19,-2.96745e-18,52,3,146,149,3.25,146.05,148.97,2.86,2.86275,2.856,2.85725
log.pimpleFoam.1th,mpi_0080-method_scotch,scotch,GAMG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:44:13,4,80,0.445924,0.461484,0.003552,3.72838e-06,2,0.0776705,9.71769e-06,3,0.102471,1.2962e-06,4,0.857275,0.0312619,2,0.853601,6.91856e-07,34,9.31297e-10,-1.05032e-19,-3.48676e-18,2.05111e-14,-1.0821e-19,-3.59497e-18,52,1,39,40,1.08,38.78,39.58,0.76,0.764706,0.754,0.754902
log.pimpleFoam.1th,mpi_0080-method_scotch,scotch,PCG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:45:03,4,80,0.445924,0.461484,0.003552,3.72838e-06,2,0.0779891,9.79001e-06,3,0.102457,1.31011e-06,4,0.857563,0.0399551,15,0.858301,9.49248e-07,522,1.19057e-09,-5.58244e-20,-2.63089e-18,2.83723e-14,-7.05515e-20,-2.70145e-18,52,1,52,54,1.36,52.68,53.82,1.02,1.03922,1.0264,1.02863
log.pimpleFoam.1th,mpi_0160-method_scotch,scotch,GAMG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:46:07,8,160,0.445924,0.461484,0.003552,4.23819e-06,2,0.0819356,2.69904e-06,4,0.105205,2.16369e-06,4,0.85803,0.0321359,2,0.854938,9.76178e-07,20,1.10517e-09,-5.79554e-20,-3.40325e-18,3.34703e-14,-7.9863e-20,-3.48311e-18,52,0,19,19,0.67,18.87,19.21,0.38,0.372549,0.364,0.363529
log.pimpleFoam.1th,mpi_0160-method_scotch,scotch,PCG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:46:38,8,160,0.445924,0.461484,0.003552,4.23819e-06,2,0.0822122,2.6909e-06,4,0.105183,2.17121e-06,4,0.858475,0.0422702,14,0.860417,9.75457e-07,493,1.45356e-09,-9.26565e-20,-2.81576e-18,3.36755e-14,-1.01336e-19,-2.9171e-18,52,1,20,20,0.7,19.8,20.21,0.38,0.372549,0.382,0.382549
log.pimpleFoam.1th,mpi_0320-method_scotch,scotch,GAMG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:47:11,16,320,0.445924,0.461485,0.003552,5.3067e-06,2,0.102957,3.68899e-06,4,0.110705,9.72865e-07,4,0.850823,0.028572,2,0.848126,9.31841e-07,29,1.2538e-09,-1.26463e-19,-3.94977e-18,4.11536e-14,-1.31862e-19,-4.08163e-18,52,0,19,20,0.64,19.49,19.93,0.38,0.392157,0.377,0.378235
log.pimpleFoam.1th,mpi_0320-method_scotch,scotch,PCG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:47:46,16,320,0.445924,0.461485,0.003552,5.30669e-06,2,0.103103,3.68685e-06,4,0.110841,9.73526e-07,4,0.851085,0.0397216,14,0.851818,9.69658e-07,278,1.74319e-09,-1.24597e-19,-2.88352e-18,4.53814e-14,-1.39211e-19,-3.02273e-18,52,1,8,8,0.52,7.67,7.82,0.14,0.137255,0.143,0.143137
log.pimpleFoam.1th,mpi_0640-method_scotch,scotch,GAMG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:48:10,32,640,0.445924,0.461484,0.00355201,6.58595e-06,2,0.111209,5.81962e-06,4,0.118185,1.44663e-06,4,0.886472,0.0300019,2,0.879086,8.70633e-07,28,1.61442e-09,-1.94758e-19,-8.0383e-19,4.68872e-14,-1.63942e-19,-9.67772e-19,52,1,26,27,1.05,25.95,26.52,0.5,0.509804,0.498,0.499412
log.pimpleFoam.1th,mpi_0640-method_scotch,scotch,PCG-DIC,OF41_Icc_INTELMPI,4.1,Nov 17 2016,09:48:55,32,640,0.445924,0.461484,0.00355201,6.58594e-06,2,0.111352,5.73713e-06,4,0.118351,1.44361e-06,4,0.88675,0.0417668,13,0.881934,9.49914e-07,580,2.24764e-09,-1.89572e-19,-1.2425e-18,5.13872e-14,-1.90313e-19,-1.43281e-18,52,0,9,9,0.53,9.25,9.44,0.18,0.176471,0.1744,0.174706
