#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,GAMG-DIC,v1612+_ThirdParty_GccKNL_INTELMPI_3,v1612+,Jan 19 2017,22:11:15,1,8,0.448854,0.459927,0.00320948,9.06307e-07,2,0.0229121,4.6602e-06,3,0.0421296,6.57307e-06,3,0.826734,0.0179857,3,0.828485,9.76528e-07,79,9.72607e-11,-9.34378e-21,-5.39288e-19,5.36101e-15,-3.07156e-21,-5.4236e-19,52,453,21155,21576,449.98,21139.4,21560.1,414.04,414.176,413.788,413.924
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,GAMG-DIC,v1612+_ThirdParty_Gcc_INTELMPI_3,v1612+,Jan 19 2017,22:09:31,1,8,0.448854,0.459927,0.00320948,9.06307e-07,2,0.0229109,4.65998e-06,3,0.042169,6.57751e-06,3,0.826734,0.0180096,3,0.828477,9.39807e-07,73,9.739e-11,-8.6723e-21,-6.15453e-19,5.18636e-15,-7.53602e-21,-6.22989e-19,52,379,22180,22615,374.6,22151.2,22585.7,436.02,436,435.532,435.512
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,GAMG-DIC,v1612+_system_IccKNL_INTELMPI_3,v1612+,Jan 19 2017,21:51:14,1,8,0.448854,0.459927,0.00320948,9.06307e-07,2,0.0229121,4.6602e-06,3,0.0421296,6.57307e-06,3,0.826734,0.0179857,3,0.828485,9.7647e-07,79,9.72607e-11,-1.20082e-20,-5.41465e-19,5.36073e-15,-9.5196e-22,-5.42417e-19,52,506,23810,24285,503.59,23793.5,24267.5,466.08,466.255,465.798,465.959
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,GAMG-DIC,v1612+_system_Icc_INTELMPI_3,v1612+,Jan 19 2017,21:51:13,1,8,0.448854,0.459927,0.00320948,9.06307e-07,2,0.0229109,4.65998e-06,3,0.042169,6.57751e-06,3,0.826734,0.0180096,3,0.828477,9.39807e-07,73,9.739e-11,-8.6723e-21,-6.15453e-19,5.18636e-15,-7.53602e-21,-6.22989e-19,52,418,24901,25389,413.95,24882,25369.3,489.66,489.627,489.361,489.321
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,PCG-DIC,v1612+_ThirdParty_GccKNL_INTELMPI_3,v1612+,Jan 19 2017,22:11:15,1,8,0.448854,0.459927,0.00320948,9.06308e-07,2,0.0232566,4.69867e-06,3,0.0422812,6.58835e-06,3,0.827528,0.0398709,30,0.832825,9.88922e-07,909,2.16067e-10,-1.95855e-21,-6.19865e-19,5.46762e-15,-1.22747e-20,-6.3214e-19,52,379,22422,23092,375.66,22404.9,23074.9,440.86,445.353,440.585,445.083
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,PCG-DIC,v1612+_ThirdParty_Gcc_INTELMPI_3,v1612+,Jan 19 2017,22:11:16,1,8,0.448854,0.459927,0.00320948,9.06308e-07,2,0.0232566,4.69867e-06,3,0.0422812,6.58835e-06,3,0.827528,0.0398709,30,0.832825,9.98639e-07,909,2.16067e-10,-5.17585e-21,-6.44665e-19,5.52134e-15,-2.07523e-21,-6.4674e-19,52,401,23625,24328,397.33,23639.4,24342.5,464.48,469.157,464.841,469.513
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,PCG-DIC,v1612+_system_IccKNL_INTELMPI_3,v1612+,Jan 19 2017,22:11:12,1,8,0.448854,0.459927,0.00320948,9.06308e-07,2,0.0232566,4.69868e-06,3,0.0422821,6.58843e-06,3,0.827527,0.0398707,30,0.832824,9.99162e-07,909,2.16065e-10,-2.11394e-21,-5.41845e-19,5.52418e-15,-2.77034e-21,-5.44615e-19,52,370,21937,22583,367.87,21921.6,22566.5,431.34,435.549,431.075,435.267
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,PCG-DIC,v1612+_system_Icc_INTELMPI_3,v1612+,Jan 19 2017,22:11:10,1,8,0.448854,0.459927,0.00320948,9.06308e-07,2,0.0232566,4.69867e-06,3,0.0422812,6.58835e-06,3,0.827528,0.0398709,30,0.832825,9.98639e-07,909,2.16067e-10,-5.17585e-21,-6.44665e-19,5.52134e-15,-2.07523e-21,-6.4674e-19,52,394,23079,23764,390.19,23061.4,23746.1,453.7,458.235,453.424,457.959
log.pimpleFoam.No1,mpi_0016-method_scotch,scotch,GAMG-DIC,v1612+_ThirdParty_GccKNL_INTELMPI_3,v1612+,Jan 19 2017,14:05:07,1,16,0.448854,0.459928,0.00320948,1.12306e-06,2,0.0225522,4.80965e-06,3,0.0380696,5.0385e-06,3,0.837846,0.0186467,3,0.839732,9.37392e-07,47,1.24833e-10,-2.7269e-21,-1.06183e-18,6.32524e-15,-3.28196e-21,-1.06511e-18,52,214,8748,8912,211.16,8739.31,8903.58,170.68,170.549,170.563,170.44
log.pimpleFoam.No1,mpi_0016-method_scotch,scotch,GAMG-DIC,v1612+_ThirdParty_Gcc_INTELMPI_3,v1612+,Jan 19 2017,14:05:08,1,16,0.448854,0.459928,0.00320948,1.12306e-06,2,0.0225532,4.80977e-06,3,0.038089,5.04053e-06,3,0.837849,0.018655,3,0.839738,9.86596e-07,55,1.24891e-10,-1.29879e-20,-6.27032e-19,6.63607e-15,-1.23898e-20,-6.39422e-19,52,205,9609,9806,201.47,9599.48,9796.47,188.08,188.255,187.96,188.137
