#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,GAMG-DIC,v1612+_ThirdParty_GccKNL_INTELMPI_0,v1612+,Jan 20 2017,01:59:49,1,8,0.445924,0.461484,0.003552,2.06927e-06,2,0.0615995,2.38888e-06,4,0.104123,3.759e-06,4,0.838763,0.0285688,2,0.834358,9.90327e-07,33,4.89678e-10,-1.18661e-19,-1.13462e-18,1.71279e-14,-1.02429e-19,-1.23705e-18,52,40,1579,1609,37.39,1573.51,1602.76,30.78,30.7647,30.7224,30.6935
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,GAMG-DIC,v1612+_ThirdParty_Gcc_INTELMPI_0,v1612+,Jan 19 2017,16:14:40,1,8,0.445924,0.461484,0.003552,2.06927e-06,2,0.0615999,2.38888e-06,4,0.104119,3.75912e-06,4,0.838767,0.0285939,2,0.834368,8.96505e-07,31,4.90111e-10,-8.3337e-20,-1.70149e-18,1.54756e-14,-8.61061e-20,-1.7876e-18,52,38,1634,1665,35.65,1627.64,1658.64,31.92,31.902,31.8398,31.8233
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,GAMG-DIC,v1612+_system_IccKNL_INTELMPI_0,v1612+,Jan 19 2017,16:14:28,1,8,0.445924,0.461484,0.003552,2.06927e-06,2,0.0615995,2.38888e-06,4,0.104123,3.759e-06,4,0.838763,0.0285688,2,0.834358,9.90327e-07,33,4.89678e-10,-1.08384e-19,-1.12163e-18,1.7128e-14,-1.0073e-19,-1.22236e-18,52,42,1764,1796,40.49,1757.51,1790.07,34.44,34.3922,34.3404,34.3055
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,GAMG-DIC,v1612+_system_Icc_INTELMPI_0,v1612+,Jan 19 2017,16:13:46,1,8,0.445924,0.461484,0.003552,2.06927e-06,2,0.0615999,2.38888e-06,4,0.104119,3.75912e-06,4,0.838767,0.0285939,2,0.834368,8.96505e-07,31,4.90111e-10,-8.3337e-20,-1.70149e-18,1.54756e-14,-8.61061e-20,-1.7876e-18,52,39,1780,1814,38.18,1774,1808.15,34.82,34.8039,34.7164,34.7053
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,PCG-DIC,v1612+_ThirdParty_GccKNL_INTELMPI_0,v1612+,Jan 19 2017,16:15:44,1,8,0.445924,0.461484,0.003552,2.06927e-06,2,0.0619767,2.39125e-06,4,0.103996,3.75729e-06,4,0.839122,0.0412303,15,0.837997,9.66793e-07,411,7.07006e-10,-5.95004e-20,-3.20143e-18,1.67111e-14,-6.10831e-20,-3.26251e-18,52,43,2078,2125,40.06,2070.56,2117.4,40.7,40.8235,40.61,40.7322
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,PCG-DIC,v1612+_ThirdParty_Gcc_INTELMPI_0,v1612+,Jan 19 2017,22:46:51,1,8,0.445924,0.461484,0.003552,2.06927e-06,2,0.0619767,2.39125e-06,4,0.103996,3.75729e-06,4,0.839122,0.0412302,15,0.837997,9.62875e-07,411,7.07006e-10,-7.22354e-20,-3.92939e-18,1.66434e-14,-7.38527e-20,-4.00325e-18,52,45,2227,2278,41.7,2219.32,2269.77,43.64,43.7843,43.5524,43.6876
log.pimpleFoam.No2,mpi_0008-method_scotch,scotch,PCG-DIC,v1612+_ThirdParty_Gcc_INTELMPI_0,v1612+,Jan 20 2017,02:00:03,1,8,0.445924,0.461484,0.003552,2.06927e-06,2,0.0619767,2.39125e-06,4,0.103996,3.75729e-06,4,0.839122,0.0412302,15,0.837997,9.62875e-07,411,7.07006e-10,-7.22354e-20,-3.92939e-18,1.66434e-14,-7.38527e-20,-4.00325e-18,52,44,2163,2212,41.5,2155.86,2204.52,42.38,42.5098,42.2872,42.4122
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,PCG-DIC,v1612+_system_IccKNL_INTELMPI_0,v1612+,Jan 19 2017,16:15:19,1,8,0.445924,0.461484,0.003552,2.06927e-06,2,0.0619768,2.39125e-06,4,0.103995,3.75728e-06,4,0.839122,0.0412303,15,0.837997,9.61987e-07,411,7.07006e-10,-5.93617e-20,-3.00014e-18,1.6628e-14,-6.43962e-20,-3.06454e-18,52,41,2144,2191,39.73,2136.78,2183.8,42.06,42.1569,41.941,42.0406
log.pimpleFoam.No1,mpi_0008-method_scotch,scotch,PCG-DIC,v1612+_system_Icc_INTELMPI_0,v1612+,Jan 19 2017,16:15:14,1,8,0.445924,0.461484,0.003552,2.06927e-06,2,0.0619767,2.39125e-06,4,0.103996,3.75729e-06,4,0.839122,0.0412302,15,0.837997,9.62875e-07,411,7.07006e-10,-7.22354e-20,-3.92939e-18,1.66434e-14,-7.38527e-20,-4.00325e-18,52,43,2155,2203,41.59,2147.85,2196.36,42.24,42.3529,42.1252,42.2504
log.pimpleFoam.No1,mpi_0016-method_scotch,scotch,GAMG-DIC,v1612+_ThirdParty_GccKNL_INTELMPI_0,v1612+,Jan 20 2017,01:59:18,1,16,0.445924,0.461484,0.003552,2.58213e-06,2,0.0661367,2.22018e-06,4,0.0918634,3.16539e-06,4,0.846909,0.0306573,2,0.842567,9.97008e-07,26,6.40957e-10,-9.17037e-21,1.94427e-19,2.08499e-14,-5.16625e-22,1.9391e-19,52,25,793,807,22.5,787.61,801.43,15.36,15.3333,15.3022,15.2731
