#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2278420,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 24 2015,12:21:22,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21.04,577.22,587.91,21,578,588
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2278818,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 24 2015,15:04:46,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,20.89,575.19,585.81,21,576,586
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2278855,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 24 2015,15:17:09,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,20.93,573.02,584.74,22,574,586
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2278906,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 24 2015,15:32:32,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,20.41,575.27,585.95,21,576,587
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2278962,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 24 2015,15:47:07,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,20.42,577.36,588.04,21,578,589
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2278968,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Nov 24 2015,15:49:33,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,20.33,575.18,586.18,21,576,587
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2299619,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Dec 09 2015,20:55:12,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,20.5,580.21,590.77,21,581,591
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2299623,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Dec 09 2015,21:00:17,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,20.36,579.91,591.49,21,581,592
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2299634,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Dec 09 2015,21:05:23,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,20.5,577.25,588.88,21,578,589
n_00008/mpi_00016/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.2299651,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0-f5222ca19ce6,Dec 09 2015,21:11:03,16,2995200,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,20.83,580.31,591.83,21,581,593
