#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,12:21:22, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,578,588,21.04,577.22,587.91,11.14,11.1176,11.1236,11.1151
log.pimpleFoam.No2,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,21:11:03, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,581,593,20.83,580.31,591.83,11.2,11.2157,11.1896,11.1961
log.pimpleFoam.No3,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,21:46:16, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,580,591,20.44,579.03,590.52,11.18,11.1765,11.1718,11.178
log.pimpleFoam.No4,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:04:46, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,576,586,20.89,575.19,585.81,11.1,11.0784,11.086,11.0769
log.pimpleFoam.No5,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:17:09, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,22,574,586,20.93,573.02,584.74,11.04,11.0588,11.0418,11.0551
log.pimpleFoam.No6,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:32:32, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,576,587,20.41,575.27,585.95,11.1,11.098,11.0972,11.089
log.pimpleFoam.No7,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:47:07, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,578,589,20.42,577.36,588.04,11.14,11.1373,11.1388,11.1298
log.pimpleFoam.No8,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:49:33, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,576,587,20.33,575.18,586.18,11.1,11.098,11.097,11.0951
log.pimpleFoam.No9,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,20:55:12, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,581,591,20.5,580.21,590.77,11.2,11.1765,11.1942,11.1818
log.pimpleFoam.No10,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,21:00:17, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,581,592,20.36,579.91,591.49,11.2,11.1961,11.191,11.1986
log.pimpleFoam.No11,mpi_00016,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,21:05:23, 1,16,0.445924,0.461484,0.003552,2.7448e-06,2,0.0690337,2.68163e-06,4,0.092446,2.40391e-06,4,0.824514,0.0403143,13,0.826166,9.97554e-07,245,9.67125e-10,1.67024e-19,-3.65698e-18,2.55497e-14,-2.66094e-19,-3.92307e-18,52,21,578,589,20.5,577.25,588.88,11.14,11.1373,11.135,11.1447
log.pimpleFoam.No1,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,12:19:52, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,11,285,291,10.82,285.2,290.63,5.48,5.4902,5.4876,5.48647
log.pimpleFoam.No2,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,21:46:14, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,11,286,291,10.49,284.83,290.12,5.5,5.4902,5.4868,5.48294
log.pimpleFoam.No3,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:04:29, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,11,285,290,10.57,284.97,290.23,5.48,5.47059,5.488,5.48353
log.pimpleFoam.No4,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:14:49, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,10,284,289,10.52,283.84,289.12,5.48,5.47059,5.4664,5.46275
log.pimpleFoam.No5,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:30:02, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,12,286,292,10.77,285.19,290.62,5.48,5.4902,5.4884,5.48725
log.pimpleFoam.No6,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:42:25, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,11,286,292,10.81,286.22,291.5,5.5,5.5098,5.5082,5.50373
log.pimpleFoam.No7,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,20:55:05, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,13,289,295,11.56,287.61,292.91,5.52,5.52941,5.521,5.51667
log.pimpleFoam.No8,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,20:57:51, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,12,286,292,12.04,286.1,291.41,5.48,5.4902,5.4812,5.47784
log.pimpleFoam.No9,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,21:03:02, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,12,289,295,11.8,288.71,293.96,5.54,5.54902,5.5382,5.53255
log.pimpleFoam.No10,mpi_00032,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,21:10:27, 2,32,0.445924,0.461484,0.003552,3.38442e-06,2,0.0733853,2.85621e-06,4,0.097908,1.76713e-06,4,0.826754,0.0412726,14,0.827584,9.84894e-07,262,1.20345e-09,1.51437e-19,-3.84186e-18,3.18624e-14,1.77114e-19,-3.66475e-18,52,11,286,292,10.69,285.67,290.95,5.5,5.5098,5.4996,5.49529
log.pimpleFoam.No1,mpi_00064,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,12:19:08, 4,64,0.445924,0.461484,0.003552,4.35167e-06,2,0.0849397,3.66356e-06,4,0.105939,2.05969e-06,4,0.826537,0.0376901,14,0.830193,9.60069e-07,255,1.4001e-09,-2.86241e-19,-5.16685e-19,3.72818e-14,1.51135e-19,-3.6555e-19,52,6,143,146,5.9,143.36,146.1,2.74,2.7451,2.7492,2.74902
log.pimpleFoam.No2,mpi_00064,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Dec 09 2015,21:26:40, 4,64,0.445924,0.461484,0.003552,4.35167e-06,2,0.0849397,3.66356e-06,4,0.105939,2.05969e-06,4,0.826537,0.0376901,14,0.830193,9.60069e-07,255,1.4001e-09,-2.86241e-19,-5.16685e-19,3.72818e-14,1.51135e-19,-3.6555e-19,52,6,144,146,5.86,143.09,145.77,2.76,2.7451,2.7446,2.74333
log.pimpleFoam.No3,mpi_00064,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Nov 24 2015,15:03:01, 4,64,0.445924,0.461484,0.003552,4.35167e-06,2,0.0849397,3.66356e-06,4,0.105939,2.05969e-06,4,0.826537,0.0376901,14,0.830193,9.60069e-07,255,1.4001e-09,-2.86241e-19,-5.16685e-19,3.72818e-14,1.51135e-19,-3.6555e-19,52,6,144,147,5.74,143.19,145.93,2.76,2.76471,2.749,2.74882
