#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00036,scotch,PCG-DIC,OF230_Gcc_INTELMPI,2.3.0-f5222ca19ce6,Jul 09 2016,09:59:58, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,4,139,142,3.19,138.03,140.5,2.7,2.70588,2.6968,2.69235
log.pimpleFoam.No2,mpi_00036,scotch,PCG-DIC,OF230_Gcc_INTELMPI,2.3.0-f5222ca19ce6,Jul 09 2016,12:00:31, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,5,140,142,2.87,137.72,140.2,2.7,2.68627,2.697,2.69275
log.pimpleFoam.No3,mpi_00036,scotch,PCG-DIC,OF230_Gcc_INTELMPI,2.3.0-f5222ca19ce6,Jul 09 2016,13:59:21, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,3,140,142,3.26,139.44,141.94,2.74,2.72549,2.7236,2.71922
log.pimpleFoam.No4,mpi_00036,scotch,PCG-DIC,OF230_Gcc_INTELMPI,2.3.0-f5222ca19ce6,Jul 09 2016,16:02:37, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,4,140,143,2.92,139.02,141.5,2.72,2.72549,2.722,2.71725
log.pimpleFoam.No5,mpi_00036,scotch,PCG-DIC,OF230_Gcc_INTELMPI,2.3.0-f5222ca19ce6,Jul 09 2016,18:01:51, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,4,140,142,2.88,137.94,140.44,2.72,2.70588,2.7012,2.69725
log.pimpleFoam.No1,mpi_00036,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Jul 09 2016,10:01:06, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,4,141,144,3.37,140.75,143.27,2.74,2.7451,2.7476,2.74314
log.pimpleFoam.No2,mpi_00036,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Jul 09 2016,12:02:50, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,3,141,143,3.05,140.28,142.8,2.76,2.7451,2.7446,2.7402
log.pimpleFoam.No3,mpi_00036,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Jul 09 2016,14:00:19, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,5,141,144,3.22,139.2,141.69,2.72,2.72549,2.7196,2.7151
log.pimpleFoam.No4,mpi_00036,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Jul 09 2016,16:03:11, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,4,140,143,3.25,139.16,141.67,2.72,2.72549,2.7182,2.71412
log.pimpleFoam.No5,mpi_00036,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0-f5222ca19ce6,Jul 09 2016,18:05:25, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.0381774,14,0.826936,9.71423e-07,253,1.26599e-09,-4.84213e-19,-7.72914e-20,3.5124e-14,1.77165e-19,9.98733e-20,52,4,140,143,3.32,139.72,142.23,2.72,2.72549,2.728,2.72373
log.pimpleFoam.No1,mpi_00036,scotch,PCG-DIC,OF230_Gcc_SGIMPI,2.3.0-f5222ca19ce6,Jul 09 2016,10:00:42, 1,36,0.445924,0.461484,0.003552,3.88419e-06,2,0.0786151,2.96244e-06,4,0.102399,1.33288e-06,4,0.823892,0.038177,14,0.826936,9.69813e-07,253,1.26598e-09,3.08996e-19,-4.6356e-18,3.50699e-14,-1.10091e-19,-4.74569e-18,52,4,138,140,3.38,137.35,139.8,2.68,2.66667,2.6794,2.6749
