#decomposeParDict,method,fvSolution,solveBatch,log,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:54:09,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.74908e-07,980,6.40537e-10,-3.12103e-20,-6.43637e-20,1.58767e-14,-4.48916e-20,-1.09255e-19,10,43,646,726,41.44,643.77,723.49,75.375,75.8889,75.2912,75.7833
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:56:20,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.69825e-07,980,6.40537e-10,-3.37265e-20,-1.74286e-20,1.57939e-14,-3.64209e-20,-5.38495e-20,10,46,679,762,43.6,676.65,760.33,79.125,79.5556,79.1312,79.6367
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:09:06,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.71307e-07,980,6.40537e-10,-4.85641e-20,-8.2568e-20,1.58181e-14,-4.23618e-20,-1.2493e-19,10,44,646,725,41.34,642.41,722.08,75.25,75.6667,75.1337,75.6378
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:35:16,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.69689e-07,980,6.40537e-10,-4.38218e-20,-9.25815e-20,1.57917e-14,-4.56109e-20,-1.38192e-19,10,42,629,707,40.66,628.05,705.87,73.375,73.8889,73.4237,73.9122
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:37:06,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.74009e-07,980,6.40537e-10,-4.18319e-20,-1.17875e-19,1.5862e-14,-4.83771e-20,-1.66253e-19,10,43,634,712,40.79,631.82,709.92,73.875,74.3333,73.8788,74.3478
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:37:20,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.70649e-07,980,6.40537e-10,-4.2657e-20,-1.06298e-19,1.58073e-14,-4.4978e-20,-1.51276e-19,10,42,630,707,40.69,627.96,705.74,73.5,73.8889,73.4087,73.8944
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:39:13,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.85065e-07,980,6.40537e-10,-3.3689e-20,-2.18185e-20,1.62593e-14,-3.37788e-20,-5.55973e-20,10,50,752,845,47.56,749.37,842.67,87.75,88.3333,87.7262,88.3456
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:51:59,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.84713e-07,980,6.40537e-10,-4.59981e-20,-7.64592e-20,1.62509e-14,-4.85826e-20,-1.25042e-19,10,50,754,847,47.33,750.65,844.12,88,88.5556,87.915,88.5322
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,07:52:05,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.83217e-07,980,6.40537e-10,-5.03192e-20,-1.11795e-19,1.62282e-14,-4.89427e-20,-1.60738e-19,10,49,751,844,47.44,749.29,842.31,87.75,88.3333,87.7312,88.3189
mpi_00064-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:24:11,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.16791,7.56181e-07,5,0.194413,4.97349e-07,5,0.847247,0.042208,36,0.847536,9.95443e-07,507,7.07323e-10,-1.58339e-20,2.08511e-19,1.93403e-14,-1.01602e-20,1.98351e-19,10,24,292,315,21.65,289.65,312.55,33.5,32.3333,33.5,32.3222
