#decomposeParDict,method,fvSolution,solveBatch,log,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,16:01:49,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.74908e-07,980,6.40537e-10,-3.12103e-20,-6.43637e-20,1.58767e-14,-4.48916e-20,-1.09255e-19,10,44,646,726,41.48,643.36,723.19,75.25,75.7778,75.235,75.7456
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,16:05:13,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.69825e-07,980,6.40537e-10,-3.37265e-20,-1.74286e-20,1.57939e-14,-3.64209e-20,-5.38495e-20,10,45,656,736,42.16,652.42,733.34,76.375,76.7778,76.2825,76.7978
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,16:05:57,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.71307e-07,980,6.40537e-10,-4.85641e-20,-8.2568e-20,1.58181e-14,-4.23618e-20,-1.2493e-19,10,44,646,725,41.54,642.64,722.27,75.25,75.6667,75.1375,75.6367
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:47:04,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.69689e-07,980,6.40537e-10,-4.38218e-20,-9.25815e-20,1.57917e-14,-4.56109e-20,-1.38192e-19,10,43,632,710,40.68,628.83,706.69,73.625,74.1111,73.5188,74.0011
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,16:44:41,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.74009e-07,980,6.40537e-10,-4.18319e-20,-1.17875e-19,1.5862e-14,-4.83771e-20,-1.66253e-19,10,43,641,721,40.72,639.31,718.84,74.75,75.3333,74.8237,75.3467
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:48:53,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.70649e-07,980,6.40537e-10,-4.2657e-20,-1.06298e-19,1.58073e-14,-4.4978e-20,-1.51276e-19,10,43,630,708,40.44,627.12,704.94,73.375,73.8889,73.335,73.8333
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:49:56,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.85065e-07,980,6.40537e-10,-3.3689e-20,-2.18185e-20,1.62593e-14,-3.37788e-20,-5.55973e-20,10,49,752,845,47.48,749.71,842.85,87.875,88.4444,87.7788,88.3744
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:50:26,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.84713e-07,980,6.40537e-10,-4.59981e-20,-7.64592e-20,1.62509e-14,-4.85826e-20,-1.25042e-19,10,52,765,860,49.87,762.62,857.21,89.125,89.7778,89.0938,89.7044
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:59:58,1,32,0.454205,0.458645,0.016723,6.48485e-06,2,0.120584,2.06513e-06,5,0.130541,5.28604e-07,5,0.838641,0.0405394,37,0.837688,9.83217e-07,980,6.40537e-10,-5.03192e-20,-1.11795e-19,1.62282e-14,-4.89427e-20,-1.60738e-19,10,51,753,846,47.68,749.7,842.78,87.75,88.3333,87.7525,88.3444
mpi_00064-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,16:21:05,2,64,0.454204,0.458643,0.016723,7.01868e-06,2,0.16791,7.56181e-07,5,0.194413,4.97349e-07,5,0.847247,0.042208,36,0.847536,9.95443e-07,507,7.07323e-10,-1.58339e-20,2.08511e-19,1.93403e-14,-1.01602e-20,1.98351e-19,10,24,292,315,21.64,289.58,312.43,33.5,32.3333,33.4925,32.31
