#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_0036-method_scotch,scotch,GAMG-DIC,OFv1612+_Gcc_OPENMPI,v1612+,Jan 12 2017,15:38:03,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239715,4.46095e-06,3,0.0388028,5.53375e-06,3,0.841737,0.0186297,3,0.84355,9.55304e-07,51,1.56091e-10,-2.27059e-20,-1.69866e-18,8.03122e-15,-2.12431e-20,-1.71991e-18,52,22,1435,1464,20.73,1433.8,1462.43,28.26,28.2745,28.2614,28.2686
log.pimpleFoam.No1,mpi_0036-method_scotch,scotch,GAMG-DIC,OFv1612+_Icc_SGIMPI,v1612+,Jan 12 2017,15:38:02,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239716,4.46095e-06,3,0.0388077,5.53426e-06,3,0.841738,0.0186296,3,0.84355,9.98868e-07,51,1.5609e-10,-1.31687e-20,-1.71712e-18,8.39524e-15,-1.92224e-20,-1.73634e-18,52,22,1412,1441,20.5,1409.97,1438.32,27.8,27.8235,27.7894,27.8004
log.pimpleFoam.No1,mpi_0036-method_scotch,scotch,PCG-DIC,OFv1612+_Gcc_OPENMPI,v1612+,Jan 12 2017,16:05:53,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0243573,4.51329e-06,3,0.039063,5.572e-06,3,0.842602,0.041524,30,0.84813,9.94668e-07,988,3.48486e-10,-1.11677e-20,-1.67858e-18,8.49656e-15,-1.37553e-20,-1.69234e-18,52,82,3978,4059,81.47,3978.37,4059.49,77.92,77.9804,77.938,78.0004
log.pimpleFoam.No1,mpi_0036-method_scotch,scotch,PCG-DIC,OFv1612+_Icc_SGIMPI,v1612+,Jan 12 2017,16:05:53,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0243573,4.5133e-06,3,0.0390635,5.57205e-06,3,0.842602,0.0415244,30,0.84813,9.80877e-07,988,3.48489e-10,-1.75466e-20,-1.76107e-18,8.37877e-15,-1.14107e-20,-1.77249e-18,52,82,3959,4041,80.32,3953.95,4035.86,77.54,77.6275,77.4726,77.5596
log.pimpleFoam.No1,mpi_0072-method_scotch,scotch,GAMG-DIC,OFv1612+_Gcc_OPENMPI,v1612+,Jan 12 2017,16:02:28,2,72,0.448854,0.459928,0.00320948,1.62615e-06,2,0.0249196,4.34458e-06,3,0.0353932,4.60208e-06,3,0.83782,0.017446,3,0.839534,8.86383e-07,55,1.66139e-10,-1.42049e-20,-1.77066e-18,8.46504e-15,-9.46733e-21,-1.78012e-18,52,19,826,841,15.92,823.61,838.3,16.14,16.1176,16.1538,16.1251
log.pimpleFoam.No2,mpi_0072-method_scotch,scotch,GAMG-DIC,OFv1612+_Gcc_OPENMPI,v1612+,Jan 12 2017,16:05:55,2,72,0.448854,0.459928,0.00320948,1.62615e-06,2,0.0249196,4.34458e-06,3,0.0353932,4.60208e-06,3,0.83782,0.017446,3,0.839534,8.86383e-07,55,1.66139e-10,-1.42049e-20,-1.77066e-18,8.46504e-15,-9.46733e-21,-1.78012e-18,52,17,825,839,16.21,824.26,838.96,16.16,16.1176,16.161,16.1324
log.pimpleFoam.No1,mpi_0072-method_scotch,scotch,GAMG-DIC,OFv1612+_Icc_SGIMPI,v1612+,Jan 12 2017,16:02:49,2,72,0.448854,0.459928,0.00320948,1.62615e-06,2,0.0249196,4.34457e-06,3,0.0353936,4.60211e-06,3,0.83782,0.017446,3,0.839534,9.77167e-07,60,1.66139e-10,-1.35637e-20,-1.57601e-18,9.35706e-15,-1.73563e-20,-1.59337e-18,52,19,808,824,16.05,804.93,820.67,15.78,15.7843,15.7776,15.7769
log.pimpleFoam.No2,mpi_0072-method_scotch,scotch,GAMG-DIC,OFv1612+_Icc_SGIMPI,v1612+,Jan 12 2017,16:05:55,2,72,0.448854,0.459928,0.00320948,1.62615e-06,2,0.0249196,4.34457e-06,3,0.0353936,4.60211e-06,3,0.83782,0.017446,3,0.839534,9.77167e-07,60,1.66139e-10,-1.35637e-20,-1.57601e-18,9.35706e-15,-1.73563e-20,-1.59337e-18,52,17,806,821,16.59,802.99,818.54,15.78,15.7647,15.728,15.7245
log.pimpleFoam.No1,mpi_0072-method_scotch,scotch,PCG-DIC,OFv1612+_Gcc_OPENMPI,v1612+,Jan 12 2017,16:05:56,2,72,0.448854,0.459928,0.00320948,1.62615e-06,2,0.0252827,4.39575e-06,3,0.0356925,4.63922e-06,3,0.83855,0.0405109,28,0.844293,9.89733e-07,961,3.86461e-10,-9.26488e-21,-1.87896e-18,9.60329e-15,-1.13506e-20,-1.89031e-18,52,24,1860,1900,22.54,1860.08,1900.17,36.72,36.7843,36.7508,36.8163
log.pimpleFoam.No1,mpi_0072-method_scotch,scotch,PCG-DIC,OFv1612+_Icc_SGIMPI,v1612+,Jan 12 2017,16:20:03,2,72,0.448854,0.459928,0.00320948,1.62615e-06,2,0.0252827,4.39575e-06,3,0.0356925,4.63922e-06,3,0.83855,0.0405129,28,0.844293,9.88074e-07,961,3.8648e-10,-1.00347e-20,-1.9502e-18,9.58718e-15,-1.29041e-20,-1.9631e-18,52,22,1853,1892,21.3,1845.07,1884.33,36.62,36.6667,36.4754,36.53
