#decomposeParDict,method,fvSolution,solveBatch,log,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:24:38,1,32,0.442897,0.464601,0.00403442,8.84158e-06,2,0.138571,1.38031e-06,4,0.142394,2.8566e-06,4,0.907964,0.0400618,9,0.911347,9.85226e-07,264,3.93127e-09,3.27966e-19,9.96092e-18,9.7599e-14,2.96192e-19,1.02571e-17,52,2,8,8,0.23,6.2,6.32,0.12,0.117647,0.1194,0.119412
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:24:44,1,32,0.442897,0.464601,0.00403442,8.84158e-06,2,0.138571,1.38031e-06,4,0.142394,2.85661e-06,4,0.907964,0.0400618,9,0.911347,9.99396e-07,264,3.93127e-09,3.26095e-19,1.42286e-17,9.90033e-14,3.0847e-19,1.45371e-17,52,3,9,9,0.29,6.56,6.7,0.12,0.117647,0.1254,0.125686
mpi_00032-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:24:37,1,32,0.442897,0.464601,0.00403442,8.84158e-06,2,0.138571,1.38031e-06,4,0.142394,2.85661e-06,4,0.907964,0.0400618,9,0.911347,9.93021e-07,264,3.93128e-09,1.81135e-19,1.10802e-17,9.83717e-14,1.85206e-19,1.12654e-17,52,3,9,9,0.26,6.07,6.19,0.12,0.117647,0.1162,0.116275
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:20:54,1,32,0.442897,0.464601,0.00403442,8.84158e-06,2,0.138571,1.38031e-06,4,0.142394,2.85661e-06,4,0.907964,0.0400619,9,0.911347,9.52254e-07,265,3.93128e-09,1.94169e-19,1.31082e-17,9.4332e-14,1.521e-19,1.32603e-17,52,4,10,10,0.51,6.39,6.51,0.12,0.117647,0.1176,0.117647
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:20:57,1,32,0.442897,0.464601,0.00403442,8.84158e-06,2,0.138571,1.3803e-06,4,0.142394,2.85661e-06,4,0.907964,0.0400619,9,0.911347,9.53329e-07,265,3.93128e-09,3.34669e-19,1.08153e-17,9.44382e-14,3.41511e-19,1.11568e-17,52,2,8,8,0.27,6.4,6.54,0.12,0.117647,0.1226,0.122941
mpi_00032-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:23:29,1,32,0.442897,0.464601,0.00403442,8.84158e-06,2,0.138571,1.38031e-06,4,0.142394,2.85661e-06,4,0.907964,0.0400618,9,0.911347,9.6523e-07,265,3.93127e-09,2.24276e-19,8.93519e-18,9.56174e-14,2.19159e-19,9.15435e-18,52,3,9,10,0.23,5.98,6.1,0.12,0.137255,0.115,0.115098
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:23:31,1,32,0.442897,0.464601,0.00403442,8.84158e-06,2,0.138571,1.38031e-06,4,0.142394,2.85661e-06,4,0.907964,0.0400617,9,0.911347,9.48703e-07,265,3.93126e-09,3.16525e-19,1.61166e-17,9.39796e-14,3.29028e-19,1.64456e-17,52,3,10,10,0.25,6.87,7.01,0.14,0.137255,0.1324,0.132549
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:23:33,1,32,0.442897,0.464601,0.00403442,8.84158e-06,2,0.138571,1.38031e-06,4,0.142394,2.85661e-06,4,0.907964,0.0400618,9,0.911347,9.53744e-07,265,3.93127e-09,3.15053e-19,1.4836e-17,9.44793e-14,2.76288e-19,1.51122e-17,52,3,10,10,0.26,6.98,7.12,0.14,0.137255,0.1344,0.13451
mpi_00032-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:23:35,1,32,0.442897,0.464601,0.00403442,8.84158e-06,2,0.138571,1.38031e-06,4,0.142394,2.8566e-06,4,0.907964,0.0400618,9,0.911347,9.8833e-07,264,3.93127e-09,2.46045e-19,1.43261e-17,9.79077e-14,2.79243e-19,1.46053e-17,52,2,9,9,0.24,6.73,6.87,0.14,0.137255,0.1298,0.13
mpi_00064-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:26:59,2,64,0.442897,0.464599,0.00403442,9.74424e-06,2,0.358632,9.02891e-06,4,0.305414,3.09949e-06,4,0.915022,0.0439493,8,0.916349,9.78941e-07,276,4.72723e-09,2.91158e-19,2.86493e-17,1.07037e-13,3.09085e-19,2.89584e-17,52,3,6,6,0.21,3.38,3.45,0.06,0.0588235,0.0634,0.0635294
mpi_00064-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:27:00,2,64,0.442897,0.464599,0.00403442,9.74424e-06,2,0.358632,9.02891e-06,4,0.305414,3.09949e-06,4,0.915022,0.0439491,8,0.916349,8.81286e-07,277,4.72721e-09,2.829e-19,2.13445e-17,9.63606e-14,3.44263e-19,2.16887e-17,52,2,6,6,0.3,3.65,3.73,0.08,0.0784314,0.067,0.0672549
mpi_00064-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:27:06,2,64,0.442897,0.464599,0.00403442,9.74424e-06,2,0.358632,9.02891e-06,4,0.305414,3.09949e-06,4,0.915022,0.0439492,8,0.916349,9.89983e-07,276,4.72722e-09,3.10011e-19,2.97767e-17,1.08244e-13,3.43931e-19,3.01206e-17,52,2,5,5,0.39,3.44,3.51,0.06,0.0588235,0.061,0.0611765
mpi_00064-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:24:39,2,64,0.442897,0.464599,0.00403442,9.74424e-06,2,0.358632,9.02891e-06,4,0.305414,3.09949e-06,4,0.915022,0.043949,8,0.916349,9.78279e-07,276,4.72721e-09,2.19985e-19,2.81212e-17,1.06964e-13,1.87713e-19,2.83089e-17,52,2,5,5,0.29,3.44,3.51,0.06,0.0588235,0.063,0.0631373
mpi_00064-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:25:48,2,64,0.442897,0.464599,0.00403442,9.74424e-06,2,0.358632,9.02891e-06,4,0.305414,3.09949e-06,4,0.915022,0.0439492,8,0.916349,9.75164e-07,276,4.72722e-09,3.44678e-19,2.57178e-17,1.06624e-13,3.55289e-19,2.60731e-17,52,2,6,6,0.45,3.81,3.88,0.08,0.0784314,0.0672,0.0672549
mpi_00064-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:25:48,2,64,0.442897,0.464599,0.00403442,9.74424e-06,2,0.358632,9.02891e-06,4,0.305414,3.09949e-06,4,0.915022,0.0439493,8,0.916349,9.77481e-07,276,4.72724e-09,4.29487e-19,2.81517e-17,1.06877e-13,3.77161e-19,2.85289e-17,52,3,6,6,0.5,3.56,3.62,0.06,0.0588235,0.0612,0.0611765
mpi_00064-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,15:25:46,2,64,0.442897,0.464599,0.00403442,9.74424e-06,2,0.358632,9.02891e-06,4,0.305414,3.09949e-06,4,0.915022,0.0439491,8,0.916349,8.85525e-07,277,4.72721e-09,2.17791e-19,2.93791e-17,9.68238e-14,2.54204e-19,2.96333e-17,52,2,6,6,0.55,4.09,4.18,0.08,0.0784314,0.0708,0.0711765
