#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_GaussSeidel,log.1978773.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,GaussSeidel,dev,Nov 20 2015,14:57:58,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,7.95,305.29,311.48,11,311,318
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_GaussSeidel,log.1979299.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,GaussSeidel,dev,Nov 20 2015,21:11:32,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,8.01,316.1,322.44,9,320,326
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_GaussSeidel,log.1979344.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,GaussSeidel,dev,Nov 20 2015,21:24:49,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,8.3,304.38,310.65,9,307,314
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_GaussSeidel,log.1979389.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,GaussSeidel,dev,Nov 20 2015,21:43:04,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,8.28,308.29,314.56,9,312,318
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_GaussSeidel,log.1979434.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,GaussSeidel,dev,Nov 20 2015,22:01:56,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,8.51,313.96,320.28,9,317,324
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_GaussSeidel,log.1983214.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,GaussSeidel,dev,Nov 23 2015,12:18:02,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,7.94,311.76,318.06,9,316,323
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_GaussSeidel,log.1983459.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,GaussSeidel,dev,Nov 23 2015,15:53:04,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,8.14,313.14,319.4,8,316,322
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_Jacobi,log.1983215.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,Jacobi,dev,Nov 23 2015,12:18:06,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,7.61,304.75,310.84,8,309,315
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_Jacobi,log.1983464.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,Jacobi,dev,Nov 23 2015,15:53:08,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,8.11,305.82,311.99,8,309,315
n_00008/mpi_00003/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_Jacobi,log.1983600.t2zpbs03,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,Jacobi,dev,Nov 23 2015,16:27:00,3,2995200,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,8.09,315.87,322.3,9,319,326
