#Dir,file,mx,my,mz,deltaT,endTime,method,nx,ny,nz,simulationType,LESModel,delta,calcInterval,solver,preconditioner,Build,Date,Time,nProcs,nCells,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.1625287.t2zpbs01,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0,Nov 20 2015,12:07:35,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.65,479.49,488.64,13,480,489
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.1625295.t2zpbs01,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0,Nov 20 2015,12:20:27,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.66,479.79,488.93,12,480,489
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.1625305.t2zpbs01,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0,Nov 20 2015,12:33:13,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.62,479.53,488.67,12,479,489
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.809900.t2zpbs05,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0,Nov 20 2015,12:22:55,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.65,479.98,489.15,12,480,489
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_GAMG-smoother_DIC,log.809913.t2zpbs05,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,GAMG,DIC,2.3.0,Nov 20 2015,12:28:58,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12.67,479.97,489.13,12,480,489
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.809871.t2zpbs05,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Nov 20 2015,12:07:31,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25.67,817.97,832.2,26,818,833
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.809889.t2zpbs05,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Nov 20 2015,12:20:24,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25.83,817.91,832.12,26,818,832
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.809899.t2zpbs05,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Nov 20 2015,12:22:46,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25.53,817.46,831.67,25,817,832
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.809912.t2zpbs05,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Nov 20 2015,12:28:52,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25.66,818.12,832.29,26,819,833
n_00008/mpi_00010/simulationType_laminar-LESModel_laminar-delta_cubeRootVol-calcInterval_1-solver_PCG-preconditioner_DIC,log.809925.t2zpbs05,240,130,96,0.002000,0.104000,scotch,-,-,-,laminar,laminar,cubeRootVol,1,PCG,DIC,2.3.0,Nov 20 2015,12:33:08,10,2995200,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25.55,817.94,832.14,26,818,832
