#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No1,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:07:35, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,13,480,489,12.65,479.49,488.64,9.34,9.33333,9.3368,9.33314
log.pimpleFoam.No2,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:20:27, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12,480,489,12.66,479.79,488.93,9.36,9.35294,9.3426,9.33863
log.pimpleFoam.No3,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:33:13, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12,479,489,12.62,479.53,488.67,9.34,9.35294,9.3382,9.33431
log.pimpleFoam.No4,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:22:55, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12,480,489,12.65,479.98,489.15,9.36,9.35294,9.3466,9.34314
log.pimpleFoam.No5,mpi_00010,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:28:58, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0667152,2.57329e-06,4,0.0888352,2.65736e-06,4,0.816537,0.0269993,2,0.810267,9.85685e-07,20,6.06487e-10,4.22803e-19,1.29891e-18,2.2135e-14,6.26418e-19,1.92532e-18,52,12,480,489,12.67,479.97,489.13,9.36,9.35294,9.346,9.34235
log.pimpleFoam.No1,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:07:31, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26,818,833,25.67,817.97,832.2,15.84,15.8235,15.846,15.8143
log.pimpleFoam.No2,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:20:24, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26,818,832,25.83,817.91,832.12,15.84,15.8039,15.8416,15.8096
log.pimpleFoam.No3,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:22:46, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,25,817,832,25.53,817.46,831.67,15.84,15.8235,15.8386,15.8067
log.pimpleFoam.No4,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:28:52, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26,819,833,25.66,818.12,832.29,15.86,15.8235,15.8492,15.8163
log.pimpleFoam.No5,mpi_00010,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:33:08, 1,10,0.445924,0.461484,0.003552,2.66145e-06,2,0.0670503,2.58333e-06,4,0.0888131,2.65979e-06,4,0.816954,0.0382708,14,0.816969,9.89027e-07,240,8.59783e-10,4.1166e-19,2.21298e-18,2.45175e-14,-1.50277e-20,2.19795e-18,52,26,818,832,25.55,817.94,832.14,15.84,15.8039,15.8478,15.8155
log.pimpleFoam.No1,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:07:44, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8,321,327,7.76,320.86,326.87,6.26,6.2549,6.262,6.25706
log.pimpleFoam.No2,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:20:39, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8,322,328,7.79,321.55,327.58,6.28,6.27451,6.2752,6.27039
log.pimpleFoam.No3,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:23:02, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8,321,327,7.75,320.44,326.45,6.26,6.2549,6.2538,6.24902
log.pimpleFoam.No4,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:29:37, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8,328,334,7.79,328.57,334.57,6.4,6.39216,6.4156,6.40745
log.pimpleFoam.No5,mpi_00020,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:33:36, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0713466,2.74181e-06,4,0.0955282,2.13824e-06,4,0.830201,0.0270234,2,0.825182,9.39094e-07,35,7.28987e-10,-1.60171e-19,-9.88311e-20,2.53268e-14,4.05972e-20,-5.82339e-20,52,8,321,328,7.89,321.01,327.01,6.26,6.27451,6.2624,6.25725
log.pimpleFoam.No1,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:22:58, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,9,367,374,9.38,367.31,374.36,7.16,7.15686,7.1586,7.15647
log.pimpleFoam.No2,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:29:03, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,9,369,376,9.37,368.86,375.89,7.2,7.19608,7.1898,7.18667
log.pimpleFoam.No3,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:07:40, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,10,368,375,9.4,367.36,374.39,7.16,7.15686,7.1592,7.15667
log.pimpleFoam.No4,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:20:31, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,10,368,375,9.38,366.92,373.94,7.16,7.15686,7.1508,7.14824
log.pimpleFoam.No5,mpi_00020,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:33:27, 2,20,0.445924,0.461484,0.003552,3.19102e-06,2,0.0716643,2.75546e-06,4,0.0955419,2.14455e-06,4,0.830661,0.039219,14,0.831432,9.93609e-07,249,1.05819e-09,2.32318e-20,-3.05268e-18,2.72126e-14,2.41582e-21,-3.05026e-18,52,9,368,375,9.46,368.03,375.06,7.18,7.17647,7.1714,7.16863
log.pimpleFoam.No1,mpi_00040,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:07:52, 4,40,0.445924,0.461484,0.003552,3.85572e-06,2,0.0753685,3.08234e-06,4,0.0962397,1.80166e-06,4,0.833131,0.0283464,2,0.829446,9.79464e-07,28,9.27302e-10,9.68402e-20,-1.7199e-18,3.20859e-14,8.09526e-20,-1.63894e-18,52,4,162,165,3.96,161.92,164.58,3.16,3.15686,3.1592,3.14941
log.pimpleFoam.No2,mpi_00040,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:22:52, 4,40,0.445924,0.461484,0.003552,3.85572e-06,2,0.0753685,3.08234e-06,4,0.0962397,1.80166e-06,4,0.833131,0.0283464,2,0.829446,9.79464e-07,28,9.27302e-10,9.68402e-20,-1.7199e-18,3.20859e-14,8.09526e-20,-1.63894e-18,52,4,138,140,3.99,137.59,140.23,2.68,2.66667,2.672,2.67137
log.pimpleFoam.No3,mpi_00040,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:33:48, 4,40,0.445924,0.461484,0.003552,3.85572e-06,2,0.0753685,3.08234e-06,4,0.0962397,1.80166e-06,4,0.833131,0.0283464,2,0.829446,9.79464e-07,28,9.27302e-10,9.68402e-20,-1.7199e-18,3.20859e-14,8.09526e-20,-1.63894e-18,52,4,143,145,3.98,142.78,145.42,2.78,2.76471,2.776,2.77333
log.pimpleFoam.No4,mpi_00040,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:25:01, 4,40,0.445924,0.461484,0.003552,3.85572e-06,2,0.0753685,3.08234e-06,4,0.0962397,1.80166e-06,4,0.833131,0.0283464,2,0.829446,9.79464e-07,28,9.27302e-10,9.68402e-20,-1.7199e-18,3.20859e-14,8.09526e-20,-1.63894e-18,52,4,138,140,3.96,137.35,139.99,2.68,2.66667,2.6678,2.66725
log.pimpleFoam.No5,mpi_00040,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:29:55, 4,40,0.445924,0.461484,0.003552,3.85572e-06,2,0.0753685,3.08234e-06,4,0.0962397,1.80166e-06,4,0.833131,0.0283464,2,0.829446,9.79464e-07,28,9.27302e-10,9.68402e-20,-1.7199e-18,3.20859e-14,8.09526e-20,-1.63894e-18,52,5,138,141,3.98,137.89,140.52,2.66,2.66667,2.6782,2.67725
log.pimpleFoam.No6,mpi_00040,scotch,GAMG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:54:53, 4,40,0.445924,0.461484,0.003552,3.85572e-06,2,0.0753685,3.08234e-06,4,0.0962397,1.80166e-06,4,0.833131,0.0283464,2,0.829446,9.79464e-07,28,9.27302e-10,9.68402e-20,-1.7199e-18,3.20859e-14,8.09526e-20,-1.63894e-18,52,5,138,141,4.02,137.48,140.13,2.66,2.66667,2.6692,2.66882
log.pimpleFoam.No1,mpi_00040,scotch,PCG-DIC,OF230_Gcc_OpenMPI,2.3.0,Nov 20 2015,12:29:40, 4,40,0.445924,0.461484,0.003552,3.85571e-06,2,0.0756755,3.09772e-06,4,0.0962919,1.8333e-06,4,0.833357,0.0395837,14,0.835626,9.65413e-07,262,1.29513e-09,3.15308e-19,2.08571e-18,3.27198e-14,3.27438e-19,2.41315e-18,52,7,185,189,6.5,184.74,188.05,3.56,3.56863,3.5648,3.5598
